freq	dB(S(2,1))
1.00000000000000000E6	-7.95639326436933030E1
1.01000000000000000E8	-3.94741218841623940E1
2.01000000000000020E8	-3.34866103830725460E1
3.01000000000000020E8	-2.99625473449920680E1
4.00999999999999980E8	-2.74476960631127700E1
5.00999999999999980E8	-2.54838918648195010E1
6.00999999999999980E8	-2.38665718929705490E1
7.00999999999999980E8	-2.24864632925761840E1
8.00999999999999980E8	-2.12782786242895390E1
9.00999999999999980E8	-2.01998779638529370E1
1.00099999999999990E9	-1.92224749187668140E1
1.10100000000000000E9	-1.83255315912810750E1
1.20100000000000010E9	-1.74938828852807290E1
1.30099999999999990E9	-1.67160155496523010E1
1.40100000000000000E9	-1.59829870545764470E1
1.50099999999999990E9	-1.52877189014472160E1
1.60099999999999980E9	-1.46245192120986320E1
1.70099999999999980E9	-1.39887512045058230E1
1.80099999999999970E9	-1.33765976154353130E1
1.90099999999999980E9	-1.27848900855734060E1
2.00099999999999990E9	-1.22109836867316400E1
2.10100000000000000E9	-1.16526635706476630E1
2.20099999999999960E9	-1.11080749835815750E1
2.30099999999999970E9	-1.05756706341280470E1
2.40099999999999980E9	-1.00541712041511830E1
2.50099999999999990E9	-9.54253599669028850E0
2.60100000000000000E9	-9.03994152650266440E0
2.70100000000000010E9	-8.54576640541228020E0
2.80100000000000020E9	-8.05958123468032820E0
2.90100000000000020E9	-7.58114243957097140E0
3.00100000000000030E9	-7.11038909825199640E0
3.10100000000000000E9	-6.64744184825802440E0
3.20100000000000050E9	-6.19260291332177640E0
3.30100000000000060E9	-5.74635619438872340E0
3.40100000000000070E9	-5.30936622662091830E0
3.50100000000000030E9	-4.88247464129670840E0
3.60100000000000040E9	-4.46669262013141120E0
3.70100000000000050E9	-4.06318773500648510E0
3.80100000000000060E9	-3.67326358682403200E0
3.90100000000000070E9	-3.29833086049155090E0
4.00100000000000030E9	-2.93986886438336100E0
4.10100000000000090E9	-2.59937736756088180E0
4.20100000000000050E9	-2.27831958786460300E0
4.30100000000000020E9	-1.97805845076050170E0
4.40100000000000070E9	-1.69978957944131510E0
4.50100000000000030E9	-1.44447565853716210E0
4.60100000000000090E9	-1.21278756152400960E0
4.70100000000000050E9	-1.00505769498944650E0
4.80100000000000020E9	-8.21250248152828990E-1
4.90100000000000070E9	-6.60951475507022220E-1
5.00100000000000030E9	-5.23381012280216410E-1
5.10100000000000090E9	-4.07422906596004090E-1
5.20100000000000050E9	-3.11672980750279380E-1
5.30100000000000020E9	-2.34497671250072100E-1
5.40100000000000070E9	-1.74098845871056000E-1
5.50100000000000030E9	-1.28579261761922850E-1
5.60100000000000090E9	-9.60041491188195910E-2
5.70100000000000050E9	-7.44556213679718400E-2
5.80100000000000020E9	-6.20779519697727800E-2
5.90100000000000070E9	-5.71129963195141420E-2
6.00100000000000030E9	-5.79260330360684690E-2
6.10100000000000090E9	-6.30229942897895780E-2
6.20100000000000050E9	-7.10604577568691110E-2
6.30100000000000020E9	-8.08499317957546100E-2
6.40100000000000070E9	-9.13579457073689130E-2
6.50100000000000030E9	-1.01703323032518570E-1
6.60100000000000090E9	-1.11152821806156130E-1
6.70100000000000050E9	-1.19116111261713000E-1
6.80100000000000020E9	-1.25140845278276960E-1
6.90100000000000070E9	-1.28908402671649200E-1
7.00100000000000030E9	-1.30230698117004720E-1
7.10100000000000090E9	-1.29048323784031420E-1
7.20100000000000050E9	-1.25430155485010710E-1
