S21 dB20 X,S21 dB20 Y
10000000,5.061620171952828
11220184.54301963,5.063511202647119
12589254.11794167,5.065013542048891
14125375.44622754,5.066206826560729
15848931.92461113,5.067154370139324
17782794.10038922,5.067906485916581
19952623.14968878,5.068503134041265
22387211.38568338,5.068976029587419
25118864.31509578,5.069350319004636
28183829.31264452,5.069645911248315
31622776.60168377,5.069878532896243
35481338.92335751,5.070060562611619
39810717.05534968,5.070201688242809
44668359.21509626,5.070309421425798
50118723.36272717,5.070389496987227
56234132.51903483,5.070446177561649
63095734.44801924,5.070482480525872
70794578.43841368,5.070500338321468
79432823.47242802,5.070500701222029
89125093.8133744,5.070483588004967
99999999.99999982,5.070448086753151
112201845.4301961,5.070392306494549
125892541.1794165,5.070313276555502
141253754.4622751,5.070206788649131
158489319.246111,5.070067173663583
177827941.0038919,5.069887002181822
199526231.4968875,5.069656706523148
223872113.8568334,5.06936255864232
251188643.1509574,5.06899299551961
281838293.1264447,5.068524536079973
316227766.0168371,5.067933387795115
354813389.2335745,5.067188122947669
398107170.5534962,5.06624911111185
446683592.1509619,5.065066432919059
501187233.6272709,5.063577241553807
562341325.1903474,5.061702444371297
630957344.4801913,5.059342534798822
707945784.3841357,5.056372361842655
794328234.7242789,5.052634573373308
891250938.1337426,5.047931424718302
999999999.9999965,5.042014697849496
1122018454.30196,5.034574552171714
1258925411.794163,5.025235764420803
1412537544.622749,5.013522252421295
1584893192.461107,4.99875584060459
1778279410.038916,4.98020036760849
1995262314.968872,4.956916302395981
2238721138.56833,4.927719520300758
2511886431.50957,4.891142079211754
2818382931.264442,4.845372475349497
3162277660.168366,4.788186035188368
3548133892.335739,4.716867371726851
3981071705.534955,4.628127508701626
4466835921.509611,4.51802058145249
5011872336.2727,4.381868217364759
5623413251.903465,4.214203590594535
6309573444.801904,4.008751242673807
7079457843.841346,3.758461947777078
7943282347.242777,3.455622361667982
8912509381.337412,3.092054468725857
10000000000,2.659407633736435
