sp_s22 (Tdiff_R=-288.5) X,sp_s22 (Tdiff_R=-288.5) Y
10000000,-15.84556718007734
11220184.54301963,-15.84489873204342
12589254.11794167,-15.8441688942149
14125375.44622754,-15.84338649541691
15848931.92461113,-15.84256509818456
17782794.10038922,-15.84172525993131
19952623.14968878,-15.84089756626597
22387211.38568338,-15.84012670172126
25118864.31509578,-15.83947689381196
28183829.31264452,-15.83903913973624
31622776.60168377,-15.83894068150817
35481338.92335751,-15.83935718530822
39810717.05534968,-15.84052789723691
44668359.21509626,-15.84277344620854
50118723.36272717,-15.84637125534242
56234132.51903483,-15.84398578471997
63095734.44801924,-15.84147648483468
70794578.43841368,-15.8388729005054
79432823.47242802,-15.83621965827641
89125093.8133744,-15.83358102612992
99999999.99999982,-15.83104646958033
112201845.4301961,-15.82536012296586
125892541.1794165,-15.81878775741989
141253754.4622751,-15.81117323066811
158489319.246111,-15.80151165113152
177827941.0038919,-15.78902092629448
199526231.4968875,-15.77394048890194
223872113.8568334,-15.75460362688021
251188643.1509574,-15.73100627951622
281838293.1264447,-15.70121860819823
316227766.0168371,-15.66435915110095
354813389.2335745,-15.61859850385996
398107170.5534962,-15.56189550546246
446683592.1509619,-15.49164817891949
501187233.6272709,-15.40518992962999
562341325.1903474,-15.29917964938731
630957344.4801913,-15.16986330216295
707945784.3841357,-15.01305949258937
794328234.7242789,-14.82417734002407
891250938.1337426,-14.59864516226354
999999999.9999965,-14.33176111854283
1122018454.30196,-14.0194213777719
1258925411.794163,-13.65808308458136
1412537544.622749,-13.24536644950106
1584893192.461107,-12.78019983958173
1778279410.038916,-12.26227343310622
1995262314.968872,-11.69345598277163
2238721138.56833,-11.07870401622067
2511886431.50957,-10.42286624415247
2818382931.264442,-9.731936067917847
3162277660.168366,-9.012969176619286
3548133892.335739,-8.273784926537381
3981071705.534955,-7.522853059007931
4466835921.509611,-6.769089584450594
5011872336.2727,-6.021833241166633
5623413251.903465,-5.290769775452718
6309573444.801904,-4.585822751024125
7079457843.841346,-3.916926233181941
7943282347.242777,-3.293551411600057
8912509381.337412,-2.724370308070435
10000000000,-2.216315949015172
