sp_S11_dB (Tdiff_R=-294.5) X,sp_S11_dB (Tdiff_R=-294.5) Y
4000000000,-1.315323495557279
4100000000,-1.430917349201509
4200000000,-1.564594926133422
4300000000,-1.718150865968803
4400000000,-1.895852215866238
4500000000,-2.102638523346175
4600000000,-2.342888537076512
4700000000,-2.623493728853864
4800000000,-2.9510949963018
4900000000,-3.333995103388209
5000000000,-3.781242292451614
5100000000,-4.305189287282655
5200000000,-4.915531372249593
5300000000,-5.62623887323355
5400000000,-6.451326063550876
5500000000,-7.408014278890151
5600000000,-8.512136083648951
5700000000,-9.791406841238114
5800000000,-11.26899348072333
5900000000,-12.98857393935459
6000000000,-15.01891982529108
6100000000,-17.45737492200541
6200000000,-20.50569432978744
6300000000,-24.6097979540293
6400000000,-31.14255857675962
6500000000,-54.06862169467927
6600000000,-33.46114233015447
6700000000,-28.17275016613137
6800000000,-25.57229016620869
6900000000,-24.12986684788522
7000000000,-23.37185088693737
7100000000,-23.11542688488634
7200000000,-23.28095881478722
7300000000,-23.86781616677638
7400000000,-24.90625649075243
7500000000,-26.44702596705827
7600000000,-28.44771036993624
7700000000,-30.0697809762559
7800000000,-29.16770001992776
7900000000,-26.16344508140139
8000000000,-23.1015519804905
8100000000,-20.49661958913335
8200000000,-18.30972476343006
8300000000,-16.4548814822198
8400000000,-14.85304665489507
8500000000,-13.45461358505445
8600000000,-12.22150062503401
8700000000,-11.12442818027358
8800000000,-10.14458993731562
8900000000,-9.266347840358481
9000000000,-8.475932749232507
9100000000,-7.762634425469436
9200000000,-7.117696318076567
9300000000,-6.534579462869857
9400000000,-6.006910189133966
9500000000,-5.52896323314632
9600000000,-5.095398325371978
9700000000,-4.702078473661589
9800000000,-4.345028357927552
9900000000,-4.020750221443544
10000000000,-3.726092108833641
