z11_Ls (Tdiff_R=0) X,z11_Ls (Tdiff_R=0) Y
1000000000,1.738833196654705e-10
1100000000,1.730970784487217e-10
1200000000,1.724210665710706e-10
1300000000,1.718194234551429e-10
1400000000,1.7129527674826e-10
1500000000,1.70810403832093e-10
1600000000,1.703871567217048e-10
1700000000,1.700147401935845e-10
1800000000,1.696664601294706e-10
1900000000,1.693461539926993e-10
2000000000,1.690590097133168e-10
2100000000,1.687961776331589e-10
2200000000,1.685384760720655e-10
2300000000,1.683043745193579e-10
2400000000,1.680909789490951e-10
2500000000,1.678807163029017e-10
2600000000,1.676814542336266e-10
2700000000,1.674981931154024e-10
2800000000,1.673230909255157e-10
2900000000,1.671404630290356e-10
3000000000,1.669712908864289e-10
3100000000,1.668143149913081e-10
3200000000,1.666684333107568e-10
3300000000,1.665326774269794e-10
3400000000,1.663929124353714e-10
3500000000,1.662456933374808e-10
3600000000,1.661079627183055e-10
3700000000,1.659789865984217e-10
3800000000,1.658581082968554e-10
3900000000,1.657447385220803e-10
4000000000,1.656212722178472e-10
4100000000,1.654961051858177e-10
4200000000,1.653782195606357e-10
4300000000,1.652671374638725e-10
4400000000,1.651624244993093e-10
4500000000,1.650636849224851e-10
4600000000,1.649523096952435e-10
4700000000,1.648441248162543e-10
4800000000,1.647417791598209e-10
4900000000,1.646449414787409e-10
5000000000,1.645533070653345e-10
5100000000,1.644652321735696e-10
5200000000,1.643651666104986e-10
5300000000,1.642702102101995e-10
5400000000,1.641801027986666e-10
5500000000,1.6409460316391e-10
5600000000,1.640134873636393e-10
5700000000,1.639317659143259e-10
5800000000,1.638425190652773e-10
5900000000,1.637576241983155e-10
6000000000,1.636768849262029e-10
6100000000,1.636001177799538e-10
6200000000,1.635271511676916e-10
6300000000,1.634528737645007e-10
6400000000,1.633773737651229e-10
6500000000,1.633055277755461e-10
6600000000,1.632371890572876e-10
6700000000,1.631722196733701e-10
6800000000,1.631104898417594e-10
6900000000,1.630438038072123e-10
7000000000,1.629771464509615e-10
7100000000,1.62913693354383e-10
7200000000,1.628533287761994e-10
7300000000,1.62795943358273e-10
7400000000,1.627414336948762e-10
7500000000,1.626811927546817e-10
7600000000,1.626231866306589e-10
7700000000,1.625680078546264e-10
7800000000,1.625155641531691e-10
7900000000,1.624657679661558e-10
8000000000,1.624175264323463e-10
8100000000,1.623656129406034e-10
8200000000,1.623162856813977e-10
8300000000,1.622694667353673e-10
8400000000,1.622250819350993e-10
8500000000,1.621830606449351e-10
8600000000,1.621411557387586e-10
8700000000,1.620975638737212e-10
8800000000,1.620562816385755e-10
8900000000,1.62017245823013e-10
9000000000,1.619803960677816e-10
9100000000,1.619456747085214e-10
9200000000,1.619093288564182e-10
9300000000,1.618722604926089e-10
9400000000,1.618372939829854e-10
9500000000,1.618043767919154e-10
9600000000,1.617734586144797e-10
9700000000,1.617444912619553e-10
9800000000,1.617121315357348e-10
9900000000,1.616802350606909e-10
10000000000,1.616502835885142e-10
10100000000,1.616222324719952e-10
10200000000,1.615960388564588e-10
10300000000,1.615716615932009e-10
10400000000,1.615464788198924e-10
10500000000,1.615230605705854e-10
10600000000,1.615013932626626e-10
10700000000,1.614814404039619e-10
10800000000,1.614631668959669e-10
10900000000,1.614453379403792e-10
11000000000,1.614244875162827e-10
11100000000,1.614053171382515e-10
11200000000,1.613877939283748e-10
11300000000,1.613718862146097e-10
11400000000,1.613575634783218e-10
11500000000,1.61343484012382e-10
11600000000,1.613291295658073e-10
11700000000,1.61316323351818e-10
11800000000,1.613050377010958e-10
11900000000,1.612952459165979e-10
12000000000,1.612869222334691e-10
12100000000,1.612759307839676e-10
12200000000,1.612640199630301e-10
12300000000,1.612536007000824e-10
12400000000,1.612446481417256e-10
12500000000,1.612371382720238e-10
12600000000,1.612310478796883e-10
12700000000,1.612252987134013e-10
12800000000,1.612207435225668e-10
12900000000,1.612175595262975e-10
13000000000,1.61215726026527e-10
13100000000,1.612152229997925e-10
13200000000,1.612156928089602e-10
13300000000,1.61211746147723e-10
13400000000,1.612091513131902e-10
13500000000,1.612078888713095e-10
13600000000,1.61207940001958e-10
13700000000,1.612092864769399e-10
13800000000,1.612111149320371e-10
13900000000,1.612120576452782e-10
14000000000,1.61214277336113e-10
14100000000,1.612177571675053e-10
14200000000,1.6122248081915e-10
14300000000,1.612284324698041e-10
14400000000,1.612334528902773e-10
14500000000,1.612374028081873e-10
14600000000,1.612425897731613e-10
14700000000,1.612489986024767e-10
14800000000,1.612566145664399e-10
14900000000,1.612654233735812e-10
15000000000,1.612730240463401e-10
15100000000,1.612807675552255e-10
15200000000,1.612896954893745e-10
15300000000,1.612997944503757e-10
15400000000,1.613110514304897e-10
15500000000,1.6132345380044e-10
15600000000,1.613345194097776e-10
15700000000,1.6134648091217e-10
15800000000,1.613595794916035e-10
15900000000,1.613738033364466e-10
16000000000,1.61389140973359e-10
16100000000,1.61404999603932e-10
16200000000,1.614177249255269e-10
16300000000,1.614315762395514e-10
16400000000,1.614465423812693e-10
16500000000,1.61462612499406e-10
16600000000,1.614797760470952e-10
16700000000,1.614969938889968e-10
16800000000,1.615132442478005e-10
16900000000,1.615305833204719e-10
17000000000,1.615490011605796e-10
17100000000,1.615684880973197e-10
17200000000,1.61588617687677e-10
17300000000,1.616068945217763e-10
17400000000,1.616262410032472e-10
17500000000,1.61646647916827e-10
17600000000,1.616681062997286e-10
17700000000,1.61690607434893e-10
17800000000,1.617121182246211e-10
17900000000,1.617344846481476e-10
18000000000,1.617578830387425e-10
18100000000,1.617823052977057e-10
18200000000,1.618077435476509e-10
18300000000,1.618310876209783e-10
18400000000,1.618541844029598e-10
18500000000,1.618783085419708e-10
18600000000,1.619034523218729e-10
18700000000,1.619296082348238e-10
18800000000,1.619558105675527e-10
18900000000,1.619820606145633e-10
19000000000,1.62009312471249e-10
19100000000,1.620375591766107e-10
19200000000,1.620667939581678e-10
19300000000,1.620958796085709e-10
19400000000,1.621232104966621e-10
19500000000,1.621515345392066e-10
19600000000,1.621808451774131e-10
19700000000,1.622111360290297e-10
19800000000,1.622421995597757e-10
19900000000,1.622720243565134e-10
20000000000,1.623028255737402e-10
