pss_vout_LNA (pss_Vin1=0) X,pss_vout_LNA (pss_Vin1=0) Y
1e-05,2.426666894736368e-08
1.58489e-05,3.845929420453213e-08
2.51189e-05,6.095084312081021e-08
3.98107e-05,9.658831128157339e-08
6.30957e-05,1.53032553877474e-07
0.0001,2.423388131138145e-07
0.000158489,3.832244904543892e-07
0.000251189,6.034700608080682e-07
0.000398107,9.368907075516875e-07
0.000630957,1.380390764532348e-06
0.001,1.826941601371735e-06
0.00158489,2.540820888365851e-06
0.00251189,5.204589784089673e-06
0.00398107,9.243859914349897e-06
0.00630957,8.387804338554079e-06
0.01,3.201848616867238e-05
