/M0/D (M=1) X,/M0/D (M=1) Y,/M0/D (M=10) X,/M0/D (M=10) Y,/M0/D (M=20) X,/M0/D (M=20) Y
0,2.362939056045892e-08,0,1.276346432368635e-07,0,2.145074329741372e-07
0.01,3.021121514835095e-08,0.01,1.63830676062804e-07,0.01,2.756313248986228e-07
0.02,3.860322477449779e-08,0.02,2.101977821071122e-07,0.02,3.540289569622513e-07
0.03,4.929227303437808e-08,0.03,2.695468464476895e-07,0.03,4.545076219971978e-07
0.04,6.28912705366436e-08,0.04,3.454440974496171e-07,0.04,5.831784681799769e-07
0.05,8.016969201258649e-08,0.05,4.424044061632323e-07,0.05,7.477946824072299e-07
0.06,1.020897256816668e-07,0.06,5.661282991645328e-07,0.06,9.581689801589511e-07
0.07000000000000001,1.298484687086965e-07,0.07000000000000001,7.23777048277139e-07,0.07000000000000001,1.226660271936579e-06
0.08,1.649339719119388e-07,0.08,9.243438169458844e-07,0.08,1.568826953871075e-06
0.09,2.09185749482844e-07,0.09,1.179078703044444e-06,0.09,2.004190561873777e-06
0.09999999999999999,2.648662533021245e-07,0.09999999999999999,1.501994497969953e-06,0.09999999999999999,2.557143594163859e-06
0.11,3.347427053894355e-07,0.11,1.910467458454614e-06,0.11,3.258037569442979e-06
0.12,4.221789476901939e-07,0.12,2.425937527701076e-06,0.12,4.144462200153775e-06
0.13,5.312363954524244e-07,0.13,3.074712307336802e-06,0.13,5.262728685910867e-06
0.14,6.667822662655617e-07,0.14,3.888874165675385e-06,0.14,6.669562447003272e-06
0.15,8.346021762373271e-07,0.15,4.907282991246338e-06,0.15,8.433999246905247e-06
0.16,1.041513023700973e-06,0.16,6.176658222962804e-06,0.16,1.063946326246893e-05
0.17,1.295470949488311e-06,0.17,7.752713187410981e-06,0.17,1.338598640623004e-05
0.18,1.60566825632325e-06,0.18,9.701303176560228e-06,0.18,1.679250599642445e-05
0.19,1.982612714325345e-06,0.19,1.209953737995691e-05,0.19,2.099915461605997e-05
0.2,2.438182908273752e-06,0.2,1.503679557600746e-05,0.2,2.616943474607156e-05
0.21,2.985654381974592e-06,0.21,1.861558563625974e-05,0.21,3.249215557815347e-05
0.2200000000000001,3.639693378930685e-06,0.2200000000000001,2.29521797286123e-05,0.2200000000000001,4.018300496987028e-05
0.2300000000000001,4.416317861477225e-06,0.2300000000000001,2.817697746894825e-05,0.2300000000000001,4.948564015612108e-05
0.2400000000000001,5.332828890967904e-06,0.2400000000000001,3.443456385333699e-05,0.2400000000000001,6.06722093754746e-05
0.2500000000000001,6.407718843241508e-06,0.2500000000000001,4.188345747813405e-05,0.2500000000000001,7.404326284741691e-05
0.2600000000000001,7.660565662629079e-06,0.2600000000000001,5.069557700885164e-05,0.2600000000000001,8.992707131296285e-05
0.2700000000000001,9.111923778892404e-06,0.2700000000000001,6.105548574562825e-05,0.2700000000000001,0.0001086784350114369
0.2800000000000001,1.078322195263833e-05,0.2800000000000001,7.315949890723892e-05,0.2800000000000001,0.0001306771234519315
