s21 (Lg=8.3e-09) X,s21 (Lg=8.3e-09) Y
10000000,-86.54806554002636
10232929.92280754,-86.14806578864184
10471285.48050899,-85.74806604898627
10715193.05237606,-85.34806632159402
10964781.96143185,-84.94806660705783
11220184.54301963,-84.54806690597619
11481536.21496883,-84.14806721898361
11748975.54939529,-83.74806754674543
12022644.34617413,-83.34806788995303
12302687.70812381,-82.94806824933931
12589254.11794167,-82.54806862566836
12882495.51693134,-82.14806901972031
13182567.38556407,-81.74806943234188
13489628.82591653,-81.34806986440927
13803842.64602884,-80.94807031684212
14125375.44622754,-80.54807079058884
14454397.70745927,-80.14807128666392
14791083.88168207,-79.7480718061109
15135612.48436208,-79.3480723500398
15488166.18912481,-78.94807291959556
15848931.92461113,-78.54807351598308
16218100.97358929,-78.14807414046966
16595869.0743756,-77.74807479438945
16982436.52461743,-77.34807547910472
17378008.28749374,-76.94807619608862
17782794.10038922,-76.54807694685216
18197008.58609982,-76.14807773298716
18620871.36662866,-75.7480785561504
19054607.17963246,-75.34807941808965
19498445.99758044,-74.94808032064323
19952623.14968878,-74.54808126569957
20417379.44669528,-74.14808225528756
20892961.30854038,-73.74808329148928
21379620.8950223,-73.3480843764932
21877616.2394955,-72.94808551260404
22387211.38568337,-72.54808670221729
22908676.52767771,-72.14808794787409
23442288.1531992,-71.74808925219865
23988329.19019488,-71.34809061795042
24547089.15685027,-70.94809204801433
25118864.31509577,-70.54809354543151
25703957.82768861,-70.14809511335858
26302679.91895379,-69.74809675511808
26915348.03926912,-69.34809847418381
27542287.03338163,-68.9481002741916
28183829.3126445,-68.54810215895853
28840315.03126602,-68.14810413245699
29512092.26666382,-67.74810619885342
30199517.20402012,-67.34810836254547
30902954.32513586,-66.9481106280804
31622776.60168375,-66.54811300026176
32359365.69296278,-66.14811548409544
33113112.14825906,-65.74811808483457
33884415.6139202,-65.34812080796918
34673685.04525311,-64.94812365926292
35481338.92335749,-64.54812664471901
36307805.47701008,-64.14812977064928
37153522.90971719,-63.74813304365151
38018939.63205606,-63.34813647062701
38904514.499428,-62.94814005882326
39810717.05534966,-62.5481438158005
40738027.7804112,-62.14814774948294
41686938.34703346,-61.74815186815033
42657951.88015918,-61.34815618048926
43651583.22401651,-60.94816069560505
44668359.21509622,-60.54816542299059
45708818.96148741,-60.1481703725969
46773514.12871972,-59.74817555484448
47863009.23226373,-59.34818098064812
48977881.93684451,-58.94818666140841
50118723.36272712,-58.54819260907163
51286138.39913637,-58.14819883614426
52480746.02497714,-57.74820535569538
53703179.63702515,-57.3482121814257
54954087.38576233,-56.94821932765293
56234132.51903477,-56.54822680937203
57543993.73371556,-56.14823464226227
58884365.53555875,-55.74824284274364
60255958.60743563,-55.34825142797423
61659500.18614806,-54.94826041593448
63095734.44801916,-54.54826982542868
64565422.90346538,-54.14827967611633
66069344.80075943,-53.74828998856431
67608297.539198,-53.34830078431406
69183097.09189346,-52.94831208586623
70794578.43841361,-52.54832391676477
72443596.00749882,-52.14833630165923
74131024.13009155,-51.74834926630463
75857757.50291817,-51.34836283764081
77624711.66286896,-50.9483770438516
79432823.47242793,-50.5483919143945
81283051.6164097,-50.14840748008503
83176377.11026688,-49.74842377313409
85113803.82023741,-49.34844082722957
87096358.99560782,-48.94845867756368
89125093.81337431,-48.54847736095407
91201083.93559073,-48.14849691586222
93325430.07969885,-47.74851738249416
95499258.60214333,-47.34853880287142
97723722.0955808,-46.94856122089846
99999999.99999972,-46.5485846824508
102329299.2280751,-46.14860923544906
104712854.8050897,-45.74863492996754
107151930.5237603,-45.34866181828384
109647819.6143182,-44.94868995502177
112201845.430196,-44.54871939720015
114815362.1496879,-44.14875020435781
117489755.4939526,-43.74878243865949
120226443.4617409,-43.34881616496773
123026877.0812378,-42.94885145097833
125892541.1794163,-42.54888836734643
128824955.169313,-42.14892698774932
131825673.8556403,-41.74896738906753
134896288.2591649,-41.34900965144141
138038426.460288,-40.94905385845784
141253754.4622749,-40.54910009721519
144543977.0745922,-40.14914845849447
147910838.8168202,-39.74919903686971
