S11 dB20 (L_stg2_Sec=5e-09) X,S11 dB20 (L_stg2_Sec=5e-09) Y
4000000000,-0.1126896139819527
4100000000,-0.1351983349504872
4200000000,-0.1628359478834737
4300000000,-0.1969571812791717
4400000000,-0.2393275188161567
4500000000,-0.2922625328779605
4600000000,-0.3588178965379235
4700000000,-0.4430483301029083
4800000000,-0.5503589321924245
4900000000,-0.6879771230947019
5000000000,-0.8655751189294374
5100000000,-1.096065888593625
5200000000,-1.396570076374294
5300000000,-1.789493549757372
5400000000,-2.303553445041184
5500000000,-2.97445331956949
5600000000,-3.844786738446746
5700000000,-4.962706797656175
5800000000,-6.378747813084865
5900000000,-8.138540546217921
6000000000,-10.26050704320056
6100000000,-12.65535574560799
6200000000,-14.88756458784833
6300000000,-15.99268106569568
6400000000,-15.5423701060344
6500000000,-14.38225827315587
6600000000,-13.24583209859694
6700000000,-12.35639170807941
6800000000,-11.7329529035724
6900000000,-11.34890943374024
7000000000,-11.17641464419914
7100000000,-11.195400465347
7200000000,-11.39277451766873
7300000000,-11.75723364987699
7400000000,-12.26785715180377
7500000000,-12.8696935070103
7600000000,-13.4286734688963
7700000000,-13.68830089166758
7800000000,-13.34698377927491
7900000000,-12.32839327808665
8000000000,-10.88754717485127
8100000000,-9.356054780858255
8200000000,-7.93991233765568
8300000000,-6.714098524501908
8400000000,-5.679239814836571
8500000000,-4.809074409103763
8600000000,-4.075611944346445
8700000000,-3.456549829778942
8800000000,-2.934647350455533
8900000000,-2.495728364577419
9000000000,-2.127470024106339
9100000000,-1.818958991243816
9200000000,-1.560592947322324
9300000000,-1.344055247046473
9400000000,-1.162259751920675
9500000000,-1.009250976414549
9600000000,-0.8800749851652422
9700000000,-0.7706401964063615
9800000000,-0.6775822782275253
9900000000,-0.5981413048518112
10000000000,-0.5300546975363333
