S21 dB20 (K_in=0.325) X,S21 dB20 (K_in=0.325) Y
1000000000,-43.32793623923866
1010000000,-43.07631373688082
1020000000,-42.82719312128344
1030000000,-42.58052200955571
1040000000,-42.3362494819084
1050000000,-42.09432602636149
1060000000,-41.85470348646923
1070000000,-41.61733501124818
1080000000,-41.38217500750702
1090000000,-41.14917909436087
1100000000,-40.91830405986472
1110000000,-40.68950781941609
1120000000,-40.46274937633986
1130000000,-40.2379887838859
1140000000,-40.01518710906983
1150000000,-39.79430639806733
1160000000,-39.57530964304926
1170000000,-39.35816075047142
1180000000,-39.14282451073389
1190000000,-38.92926656895577
1200000000,-38.71745339716541
1210000000,-38.50735226751802
1220000000,-38.29893122661306
1230000000,-38.09215907086593
1240000000,-37.88700532289326
1250000000,-37.68344020876201
1260000000,-37.4814346361897
1270000000,-37.28096017361034
1280000000,-37.0819890300262
1290000000,-36.88449403550997
1300000000,-36.68844862274133
1310000000,-36.49382680897169
1320000000,-36.30060317876278
1330000000,-36.10875286735081
1340000000,-35.91825154464009
1350000000,-35.72907539981708
1360000000,-35.54120112637365
1370000000,-35.35460590790252
1380000000,-35.16926740411101
1390000000,-34.9851637376134
1400000000,-34.80227348101202
1410000000,-34.62057564444898
1420000000,-34.4400496636048
1430000000,-34.26067538816405
1440000000,-34.08243307058054
1450000000,-33.90530335526092
1460000000,-33.72926726812283
1470000000,-33.55430620648501
1480000000,-33.38040192926874
1490000000,-33.20753654753648
1500000000,-33.03569251550493
1510000000,-32.86485262134399
1520000000,-32.69499997897712
1530000000,-32.52611801954165
1540000000,-32.35819048342749
1550000000,-32.19120141251136
1560000000,-32.02513514256068
1570000000,-31.85997629597523
1580000000,-31.69570977461835
1590000000,-31.53232075304352
1600000000,-31.3697946717737
1610000000,-31.20811723077098
1620000000,-31.04727438330151
1630000000,-30.88725232972739
1640000000,-30.72803751167023
1650000000,-30.5696166062091
1660000000,-30.41197652036537
1670000000,-30.2551043856106
1680000000,-30.09898755273558
1690000000,-29.94361358664324
1700000000,-29.78897026140051
1710000000,-29.63504555535867
1720000000,-29.48182764667222
1730000000,-29.32930490843773
1740000000,-29.17746590448734
1750000000,-29.02629938497186
1760000000,-28.87579428214044
1770000000,-28.72593970639374
1780000000,-28.57672494213917
1790000000,-28.42813944397986
1800000000,-28.28017283298047
1810000000,-28.13281489298841
1820000000,-27.98605556701511
1830000000,-27.83988495380953
1840000000,-27.69429330441916
1850000000,-27.54927101893027
1860000000,-27.40480864321623
1870000000,-27.26089686579886
1880000000,-27.11752651483859
1890000000,-26.97468855507227
1900000000,-26.83237408494001
1910000000,-26.69057433379184
1920000000,-26.54928065904345
1930000000,-26.40848454354952
1940000000,-26.26817759288082
1950000000,-26.12835153289179
1960000000,-25.988998207048
1970000000,-25.85010957410809
1980000000,-25.71167770566805
1990000000,-25.57369478381769
2000000000,-25.43615309895596
2010000000,-25.29904504744393
2020000000,-25.16236312948378
2030000000,-25.02609994700341
2040000000,-24.89024820160478
2050000000,-24.7548006924498
2060000000,-24.61975031437358
2070000000,-24.48509005590659
2080000000,-24.35081299737588
2090000000,-24.21691230902746
2100000000,-24.0833812493573
2110000000,-23.95021316310127
2120000000,-23.81740147972226
2130000000,-23.68493971162647
2140000000,-23.55282145247478
2150000000,-23.42104037566335
2160000000,-23.28959023262264
2170000000,-23.15846485135821
2180000000,-23.0276581348441
2190000000,-22.89716405966732
2200000000,-22.76697667445235
2210000000,-22.63709009843433
2220000000,-22.50749852016895
2230000000,-22.3781961961066
2240000000,-22.24917744920615
2250000000,-22.12043666771596
2260000000,-21.99196830382208
2270000000,-21.86376687242565
2280000000,-21.73582694986652
2290000000,-21.60814317283467
2300000000,-21.48071023698883
2310000000,-21.35352289599255
2320000000,-21.22657596027727
2330000000,-21.09986429590865
2340000000,-20.97338282359225
2350000000,-20.84712651744887
2360000000,-20.72109040411161
2370000000,-20.595269561659
2380000000,-20.46965911852712
2390000000,-20.34425425259391
2400000000,-20.21905019016227
2410000000,-20.0940422050721
2420000000,-19.96922561768059
2430000000,-19.84459579397485
2440000000,-19.72014814468625
2450000000,-19.59587812437657
2460000000,-19.47178123059338
2470000000,-19.34785300302764
2480000000,-19.22408902254705
2490000000,-19.10048491060717
2500000000,-18.97703632821294
2510000000,-18.8537389752471
2520000000,-18.73058858967327
2530000000,-18.60758094677263
2540000000,-18.48471185829058
2550000000,-18.36197717188166
2560000000,-18.23937277018725
2570000000,-18.11689457028783
