sp_S11_dB (Tdiff_R=0) X,sp_S11_dB (Tdiff_R=0) Y
4000000000,-1.223694942544268
4100000000,-1.329695916378097
4200000000,-1.452019360740629
4300000000,-1.593529368033468
4400000000,-1.758031598911951
4500000000,-1.950039429882146
4600000000,-2.17457731238002
4700000000,-2.438871262141966
4800000000,-2.750058429454066
4900000000,-3.117424029756525
5000000000,-3.551784006641892
5100000000,-4.065892562773621
5200000000,-4.673244219241361
5300000000,-5.390637407280988
5400000000,-6.23760076962613
5500000000,-7.233489939018871
5600000000,-8.404408717379393
5700000000,-9.78055337035566
5800000000,-11.40210855440759
5900000000,-13.31918999233764
6000000000,-15.59779929760495
6100000000,-18.29612889009194
6200000000,-21.31251615724497
6300000000,-23.74250912164372
6400000000,-23.80283421487912
6500000000,-22.09584319377516
6600000000,-20.30585502195551
6700000000,-18.90469723551043
6800000000,-17.89005621148049
6900000000,-17.19617527127569
7000000000,-16.76446227807178
7100000000,-16.5613341743427
7200000000,-16.55923884579482
7300000000,-16.75295422729179
7400000000,-17.14084677535639
7500000000,-17.73730937094319
7600000000,-18.5707502224659
7700000000,-19.67731328005289
7800000000,-21.10980885961996
7900000000,-22.89140758262887
8000000000,-24.82661290807853
8100000000,-25.95715778404411
8200000000,-24.92815458451865
8300000000,-22.48768722238647
8400000000,-19.95412563513487
8500000000,-17.73620128285646
8600000000,-15.84458912913411
8700000000,-14.2246914184498
8800000000,-12.82347112378962
8900000000,-11.6011876738261
9000000000,-10.52490457455167
9100000000,-9.571977212224249
9200000000,-8.723719810377503
9300000000,-7.965534157384426
9400000000,-7.286154083729351
9500000000,-6.675743630052385
9600000000,-6.1263437015476
9700000000,-5.631493729557525
9800000000,-5.184456425546272
9900000000,-4.78038242259339
10000000000,-4.415061104944252
