"/M0/D (L=4e-08,M=10) X","/M0/D (L=4e-08,M=10) Y","/M0/D (L=4e-08,M=20) X","/M0/D (L=4e-08,M=20) Y","/M0/D (L=8e-08,M=10) X","/M0/D (L=8e-08,M=10) Y","/M0/D (L=8e-08,M=20) X","/M0/D (L=8e-08,M=20) Y"
0,1.76449558642829e-07,0,2.943682046054057e-07,0,2.256280007036401e-09,0,4.469276561992746e-09
0.01,2.263786332652566e-07,0.01,3.780829632792908e-07,0.01,2.963335167879643e-09,0.01,5.872862048731813e-09
0.02,2.902858834402999e-07,0.02,4.853775622335102e-07,0.02,3.904894277603934e-09,0.02,7.742508004682485e-09
0.03,3.720104696123498e-07,0.03,6.22778056136956e-07,0.03,5.15814437524184e-09,0.03,1.023179324382345e-08
0.04,4.764124393634367e-07,0.04,7.985640387454596e-07,0.04,6.82558250043174e-09,0.04,1.354471337003117e-08
0.05,6.096291786055532e-07,0.05,1.023216041693077e-06,0.05,9.043247049888978e-09,0.05,1.795209616892754e-08
0.06,7.793876844565015e-07,0.06,1.309964502708632e-06,0.06,1.199157367725996e-08,0.06,2.381325436573109e-08
0.07000000000000001,9.953632693532814e-07,0.07000000000000001,1.67542382148209e-06,0.07000000000000001,1.590930167961816e-08,0.07000000000000001,3.16037332861195e-08
0.08,1.269661925401444e-06,0.08,2.140440583469647e-06,0.08,2.111258632443926e-08,0.08,4.195347203530217e-08
0.09,1.617365323936868e-06,0.09,2.731074035910771e-06,0.09,2.801977422213738e-08,0.09,5.569624745833643e-08
0.09999999999999999,2.057171369105582e-06,0.09999999999999999,3.479748429194092e-06,0.09999999999999999,3.718367973017974e-08,0.09999999999999999,7.393413536565962e-08
0.11,2.612144855464642e-06,0.11,4.426617825431588e-06,0.11,4.933392517407947e-08,0.11,9.812208413747183e-08
0.12,3.310578116087494e-06,0.12,5.621147513235247e-06,0.12,6.54321528979682e-08,0.12,1.301782272018034e-07
0.13,4.186960227251481e-06,0.13,7.123916802582991e-06,0.13,8.674378334079302e-08,0.13,1.726272888338245e-07
0.14,5.283045650436913e-06,0.14,9.008635379041262e-06,0.14,1.149309191621096e-07,0.14,2.287862924584843e-07
0.15,6.649003287405782e-06,0.15,1.136434835043063e-05,0.15,1.521720915488774e-07,0.15,3.030039765512638e-07
0.16,8.344615106165935e-06,0.16,1.429778376830461e-05,0.16,2.013158092782679e-07,0.16,4.009678561829066e-07
0.17,1.044048057187001e-05,0.17,1.793577172686048e-05,0.17,2.660762803816476e-07,0.17,5.300956906466855e-07
0.18,1.3019170507608e-05,0.18,2.242763821781488e-05,0.18,3.51281173555956e-07,0.18,7.000311147814367e-07
0.19,1.617626376618138e-05,0.19,2.794745310998376e-05,0.19,4.631827673551666e-07,0.19,9.232661529130485e-07
0.2,2.002119474563794e-05,0.2,3.469599447216609e-05,0.2,6.09845131876619e-07,0.2,1.215915921583846e-06
0.21,2.467784196231658e-05,0.21,4.29022862197462e-05,0.21,8.016208550357186e-07,0.21,1.598672546657694e-06
0.2200000000000001,3.028479972926851e-05,0.2200000000000001,5.282457773725912e-05,0.2200000000000001,1.051730934527071e-06,0.2200000000000001,2.097965509471799e-06
0.2300000000000001,3.699529731605525e-05,0.2300000000000001,6.475066605669989e-05,0.2300000000000001,1.376960403356289e-06,0.2300000000000001,2.747353483186164e-06
0.2400000000000001,4.497676159936637e-05,0.2400000000000001,7.89975134600311e-05,0.2400000000000001,1.798479599052525e-06,0.2400000000000001,3.589167336107731e-06
0.2500000000000001,5.441005649191513e-05,0.2500000000000001,9.591018157877726e-05,0.2500000000000001,2.342796318465531e-06,0.2500000000000001,4.676414551278925e-06
0.2600000000000001,6.548846937618358e-05,0.2600000000000001,0.0001158601777502035,0.2600000000000001,3.042837172571636e-06,0.2600000000000001,6.074941348599602e-06
0.2700000000000001,7.841654397657084e-05,0.2700000000000001,0.000139243377087381,0.2700000000000001,3.939147336827269e-06,0.2700000000000001,7.865830446806058e-06
0.2800000000000001,9.340887337668645e-05,0.2800000000000001,0.0001664777294156154,0.2800000000000001,5.081187134954653e-06,0.2800000000000001,1.014799079709798e-05
0.2900000000000001,0.0001106889611350207,0.2900000000000001,0.0001980009709867209,0.2900000000000001,6.528692648119076e-06,0.2900000000000001,1.304087309164771e-05
0.3000000000000001,0.0001304882313297756,0.3000000000000001,0.0002342685296175415,0.3000000000000001,8.35305752124658e-06,0.3000000000000001,1.668722486047666e-05
0.3100000000000001,0.0001530452230549096,0.3100000000000001,0.0002757517400176349,0.3100000000000001,1.063868634408935e-05,0.3100000000000001,2.125578554185649e-05
0.3200000000000001,0.0001786049486722923,0.3200000000000001,0.0003229363839836752,0.3200000000000001,1.348426814140192e-05,0.3200000000000001,2.694381848689834e-05
0.3300000000000001,0.000207418337828759,0.3300000000000001,0.0003763214553084176,0.3300000000000001,1.700392229961807e-05,0.3300000000000001,3.397938475945248e-05
0.3400000000000001,0.000239741641085742,0.3400000000000001,0.0004364179423614165,0.3400000000000001,2.132817762257413e-05,0.3400000000000001,4.262328059851401e-05
0.3500000000000001,0.0002758356364713659,0.3500000000000001,0.0005037473417593254,0.3500000000000001,2.660475506664099e-05,0.3500000000000001,5.317058025503228e-05
0.3600000000000002,0.0003159644746380412,0.3600000000000002,0.0005788395787009703,0.3600000000000002,3.299913150187265e-05,0.3600000000000002,6.595173941141491e-05
0.3700000000000002,0.0003603940151093455,0.3700000000000002,0.0006622300204855942,0.3700000000000002,4.069486098295649e-05,0.3700000000000002,8.133321234774409e-05
0.3800000000000002,0.0004093895453236086,0.3800000000000002,0.0007544553289267977,0.3800000000000002,4.989361879245405e-05,0.3800000000000002,9.971751314732922e-05
0.3900000000000002,0.000463212831065866,0.3900000000000002,0.0008560479976969834,0.3900000000000002,6.081491279776761e-05,0.3900000000000002,0.0001215426094556483
0.4000000000000002,0.0005221185148366284,0.4000000000000002,0.0009675295501467103,0.4000000000000002,7.369538139700066e-05,0.4000000000000002,0.0001472804867562115
0.4100000000000002,0.0005863499501919225,0.4100000000000002,0.001089402516971405,0.4100000000000002,8.878757558165523e-05,0.4100000000000002,0.0001774346780941021
0.4200000000000002,0.0006561346273508035,0.4200000000000002,0.001222141455165745,0.4200000000000002,0.0001063581133928918,0.4200000000000002,0.0002125365366471009
0.4300000000000002,0.0007316794011069039,0.4300000000000002,0.001366183394254108,0.4300000000000002,0.0001266851056361782,0.4300000000000002,0.0002531400510815045
0.4400000000000002,0.000813165770119932,0.4400000000000002,0.001521918188827798,0.4400000000000002,0.0001500547858637417,0.4400000000000002,0.0002998150734259603
0.4500000000000002,0.0009007454726058738,0.4500000000000002,0.001689679307194237,0.4500000000000002,0.0001767573344781705,0.4500000000000002,0.0003531389442202799
0.4600000000000002,0.0009945366552713099,0.4600000000000002,0.001869735588248459,0.4600000000000002,0.0002070819609908924,0.4600000000000002,0.0004136866488859259
0.4700000000000003,0.001094620840776708,0.4700000000000003,0.002062284451847166,0.4700000000000003,0.0002413113909217845,0.4700000000000003,0.0004820198041907627
0.4800000000000003,0.00120104086754897,0.4800000000000003,0.002267446957158329,0.4800000000000003,0.0002797159830870488,0.4800000000000003,0.0005586749312111413
0.4900000000000003,0.001313799910201998,0.4900000000000003,0.00248526497906831,0.4900000000000003,0.0003225477669398734,0.4900000000000003,0.0006441515969854307
0.5000000000000002,0.001432861616461453,0.5000000000000002,0.00271570062889926,0.5000000000000002,0.0003700347273950524,0.5000000000000002,0.0007389010796663955
0.5100000000000002,0.001558151325029537,0.5100000000000002,0.00295863789820193,0.5100000000000002,0.0004223756688061934,0.5100000000000002,0.0008433162170569227
0.5200000000000002,0.001689558265270111,0.5200000000000002,0.003213886368327431,0.5200000000000002,0.0004797359581741438,0.5200000000000002,0.0009577230319195517
0.5300000000000002,0.001826938589330729,0.5300000000000002,0.003481186716167046,0.5300000000000002,0.000542244383726312,0.5300000000000002,0.00108237459694253
0.5400000000000003,0.001970119053564894,0.5400000000000003,0.00376021766603129,0.5400000000000003,0.0006099912774030409,0.5400000000000003,0.00121744742558765
0.5500000000000003,0.002118901149790385,0.5500000000000003,0.004050603992535179,0.5500000000000003,0.0006830279506638215,0.5500000000000003,0.001363040476786644
0.5600000000000003,0.00227306548687786,0.5600000000000003,0.004351925168533118,0.5600000000000003,0.0007613673955305439,0.5600000000000003,0.001519176667861948
0.5700000000000003,0.002432376236733166,0.5700000000000003,0.004663724271035836,0.5700000000000003,0.0008449861185848943,0.5700000000000003,0.001685806624157081
0.5800000000000003,0.002596585482343612,0.5800000000000003,0.004985516799813181,0.5800000000000003,0.0009338269130286651,0.5800000000000003,0.001862814271791327
0.5900000000000003,0.002765437335360221,0.5900000000000003,0.005316799120267999,0.5900000000000003,0.00102780233690968,0.5900000000000003,0.002050023809190252
0.6000000000000003,0.002938671723086879,0.6000000000000003,0.005657056306582336,0.6000000000000003,0.001126798654031101,0.6000000000000003,0.002247207572761147
0.6100000000000003,0.003116027776735181,0.6100000000000003,0.006005769226540596,0.6100000000000003,0.001230680004408721,0.6100000000000003,0.002454094334974917
0.6200000000000003,0.003297246782142676,0.6200000000000003,0.00636242077076114,0.6200000000000003,0.001339292597903548,0.6200000000000003,0.00267037762800383
0.6300000000000003,0.003482074679400155,0.6300000000000003,0.006726501182892987,0.6300000000000003,0.001452468761613289,0.6300000000000003,0.002895723760508481
0.6400000000000003,0.003670264118270898,0.6400000000000003,0.007097512491762518,0.6400000000000003,0.001570030712898788,0.6400000000000003,0.003129779277580424
0.6500000000000004,0.003861576091774416,0.6500000000000004,0.007474972080873651,0.6500000000000004,0.001691793970758598,0.6500000000000004,0.00337217769483458
0.6600000000000004,0.004055781181135902,0.6600000000000004,0.00785841545542126,0.6600000000000004,0.001817570355235909,0.6600000000000004,0.003622545410590707
0.6700000000000004,0.004252660452027026,0.6700000000000004,0.008247398283059064,0.6700000000000004,0.001947170555620613,0.6700000000000004,0.003880506761117928
0.6800000000000004,0.004452006045334837,0.6800000000000004,0.008641497793406875,0.6800000000000004,0.002080406272560098,0.6800000000000004,0.004145688231513813
0.6900000000000004,0.004653621506322775,0.6900000000000004,0.009040313624155966,0.6900000000000004,0.002217091956873891,0.6900000000000004,0.004417721869165761
0.7000000000000004,0.004857321894683614,0.7000000000000004,0.00944346820006774,0.7000000000000004,0.002357046179529801,0.7000000000000004,0.004696247969248588
0.7100000000000004,0.005062933715242749,0.7100000000000004,0.009850606726453728,0.7100000000000004,0.002500092673848242,0.7100000000000004,0.004980917114300844
0.7200000000000004,0.005270294705468203,0.7200000000000004,0.01026139687198045,0.7200000000000004,0.002646061093632824,0.7200000000000004,0.005271391654738359
0.7300000000000004,0.005479253511891062,0.7300000000000004,0.01067552820775014,0.7300000000000004,0.002794787530621003,0.7300000000000004,0.005567346716265595
0.7400000000000004,0.005689669283350356,0.7400000000000004,0.01109271146126073,0.7400000000000004,0.002946114832328608,0.7400000000000004,0.005868470815350709
