"Z11 reOhm (L=4e-08,M=10) X","Z11 reOhm (L=4e-08,M=10) Y","Z11 reOhm (L=4e-08,M=20) X","Z11 reOhm (L=4e-08,M=20) Y","Z11 reOhm (L=8e-08,M=10) X","Z11 reOhm (L=8e-08,M=10) Y","Z11 reOhm (L=8e-08,M=20) X","Z11 reOhm (L=8e-08,M=20) Y"
0,0.04123847108768079,0,0.112306608209539,0,0.0400489700450903,0,0.1112868724573686
0.01,0.04248527119512792,0.01,0.1144905368950925,0.01,0.03998110437837935,0.01,0.1110907842467035
0.02,0.04409296450280527,0.02,0.1173289063060833,0.02,0.03991896064728556,0.02,0.1109069579357483
0.03,0.04615825032867547,0.03,0.1209987997582276,0.03,0.03986412905398831,0.03,0.11073870875416
0.04,0.04880239320983508,0.04,0.1257229830501658,0.04,0.03981875769388504,0.04,0.1105905457492612
0.05,0.05217683087477101,0.05,0.1317806021159187,0.05,0.03978573488662623,0.05,0.1104685647300412
0.06,0.05646882636394942,0.06,0.1395184365532429,0.06,0.03976876151326979,0.06,0.1103804702464423
0.07000000000000001,0.06190902483576215,0.07000000000000001,0.1493642980257775,0.07000000000000001,0.03977269949502328,0.07000000000000001,0.1103364392982608
0.08,0.06878320621371049,0.08,0.1618521028069719,0.08,0.03980485875742527,0.08,0.1103523760031127
0.09,0.07743830425284762,0.09,0.1776326721868893,0.09,0.03987432169140402,0.09,0.1104476955209006
0.09999999999999999,0.08829361632193493,0.09999999999999999,0.1974969957496104,0.09999999999999999,0.03999309471212612,0.09999999999999999,0.1106481105729715
0.11,0.1018510890469592,0.11,0.2223978854291905,0.11,0.04017699883594387,0.11,0.1109875527616054
0.12,0.1187051102089971,0.12,0.2534714331717091,0.12,0.04044680993910247,0.12,0.1115106324695194
0.13,0.1395508989890115,0.13,0.2920566154949793,0.13,0.04082970677084963,0.13,0.1122757620611038
0.14,0.1651903852259314,0.14,0.3397109038318037,0.14,0.04136109048924473,0.14,0.1133590776374561
0.15,0.1965343693367426,0.15,0.3982193986220001,0.15,0.04208684261534661,0.15,0.1148593024541797
0.16,0.2345998280604677,0.16,0.4695949489693114,0.16,0.04306608289158478,0.16,0.1169036800450998
0.17,0.2805015125971324,0.17,0.5560670774477936,0.17,0.04437447203260346,0.17,0.1196550684167913
0.18,0.3354374316631374,0.18,0.6600582734112362,0.18,0.04610807078408794,0.18,0.1233202103066857
0.19,0.4006682993905918,0.19,0.7841471506504444,0.19,0.04838771293574159,0.19,0.1281590763125796
0.2,0.4774914375256628,0.2,0.9310187796306595,0.2,0.05136377923141032,0.2,0.1344950220812573
0.21,0.5672099687119536,0.21,1.103403089800087,0.21,0.0552211846949698,0.21,0.1427253408722436
0.2200000000000001,0.671098601341243,0.2200000000000001,1.304002893763581,0.2200000000000001,0.0601843435781378,0.2200000000000001,0.1533316957536498
0.2300000000000001,0.7903680474880243,0.2300000000000001,1.535414301710398,0.2300000000000001,0.06652188992791974,0.2300000000000001,0.1668899586644218
0.2400000000000001,0.9261310171916375,0.2400000000000001,1.800044212693438,0.2400000000000001,0.07455102092508385,0.2400000000000001,0.1840791964942569
0.2500000000000001,1.079373362741664,0.2500000000000001,2.100031523864874,0.2500000000000001,0.08464143817187438,0.2500000000000001,0.2056897888649478
0.2600000000000001,1.250933819076975,0.2600000000000001,2.437179574418628,0.2600000000000001,0.09721885603969561,0.2600000000000001,0.2326306466239683
0.2700000000000001,1.441494686342452,0.2700000000000001,2.812906267462287,0.2700000000000001,0.1127678093105772,0.2700000000000001,0.2659349643737917
0.2800000000000001,1.651583902115126,0.2800000000000001,3.228215230232339,0.2800000000000001,0.131833095807827,0.2800000000000001,0.3067630639696906
0.2900000000000001,1.881586712612414,0.2900000000000001,3.683686972871225,0.2900000000000001,0.155018929951442,0.2900000000000001,0.3564003295585845
0.3000000000000001,2.131763123947807,0.3000000000000001,4.179484426781204,0.3000000000000001,0.1829850545617151,0.3000000000000001,0.4162486354297037
0.3100000000000001,2.402265973389488,0.3100000000000001,4.71536365893948,0.3100000000000001,0.2164396511832469,0.3100000000000001,0.4878109711933078
0.3200000000000001,2.693154105021962,0.3200000000000001,5.290678925402329,0.3200000000000001,0.2561295946162058,0.3200000000000001,0.5726704727517471
0.3300000000000001,3.004395830415752,0.3300000000000001,5.904372056012384,0.3300000000000001,0.302829065684696,0.3300000000000001,0.6724660234177169
0.3400000000000001,3.335859454711946,0.3400000000000001,6.554939450054564,0.3400000000000001,0.3573276070117132,0.3400000000000001,0.7888666637868321
0.3500000000000001,3.687289836506866,0.3500000000000001,7.240375194577352,0.3500000000000001,0.420418395600382,0.3500000000000001,0.9235463050373439
0.3600000000000002,4.058272345080284,0.3600000000000002,7.958095105647843,0.3600000000000002,0.4928869285796484,0.3600000000000002,1.078158941688571
0.3700000000000002,4.448187809673318,0.3700000000000002,8.704852737989183,0.3700000000000002,0.5754996323766258,0.3700000000000002,1.254313052956513
0.3800000000000002,4.856163823835731,0.3800000000000002,9.47666349312961,0.3800000000000002,0.6689913029896131,0.3800000000000002,1.453542587929022
0.3900000000000002,5.281028865834238,0.3900000000000002,10.26875586364808,0.3900000000000002,0.7740499584689771,0.3900000000000002,1.67727127024431
0.4000000000000002,5.721276006844156,0.4000000000000002,11.07556880523717,0.4000000000000002,0.8912977728521266,0.4000000000000002,1.926767227788561
0.4100000000000002,6.175042460462089,0.4100000000000002,11.89081080025946,0.4100000000000002,1.021267295899297,0.4100000000000002,2.203086239265827
0.4200000000000002,6.640109916272645,0.4200000000000002,12.70758944478968,0.4200000000000002,1.164373058469703,0.4200000000000002,2.507004002742759
0.4300000000000002,7.113928611137549,0.4300000000000002,13.51861106909117,0.4300000000000002,1.320879747336084,0.4300000000000002,2.83894041240426
0.4400000000000002,7.593665630763074,0.4400000000000002,14.31643936743131,0.4400000000000002,1.490869198470903,0.4400000000000002,3.19888141108546
0.4500000000000002,8.076275293264866,0.4500000000000002,15.09379215562996,0.4500000000000002,1.674209310359293,0.4500000000000002,3.586306127241165
0.4600000000000002,8.558586995437105,0.4600000000000002,15.84384822239794,0.4600000000000002,1.870528460003881,0.4600000000000002,4.000128280743724
0.4700000000000003,9.037403957886452,0.4700000000000003,16.56053342110638,0.4700000000000003,2.079199005974798,0.4700000000000003,4.438660944335142
0.4800000000000003,9.509605174994702,0.4800000000000003,17.23875740282155,0.4800000000000003,2.299332934390761,0.4800000000000003,4.899612464333778
