"Gmin im (L=4e-08,M=10) X","Gmin im (L=4e-08,M=10) Y","Gmin im (L=4e-08,M=20) X","Gmin im (L=4e-08,M=20) Y","Gmin im (L=8e-08,M=10) X","Gmin im (L=8e-08,M=10) Y","Gmin im (L=8e-08,M=20) X","Gmin im (L=8e-08,M=20) Y"
0,0.0518733683550092,0,0.1008887581801867,0,0.06471371051067533,0,0.1254204017939673
0.01,0.05167457809087503,0.01,0.1004843316454141,0.01,0.0645539605762019,0.01,0.1251153385299069
0.02,0.05147527429742792,0.02,0.1000623569665757,0.02,0.06439354260140442,0.02,0.1248099134384722
0.03,0.05128007665804472,0.03,0.09963040280771882,0.03,0.06423154438840238,0.03,0.1245026660165891
0.04,0.05109373272503433,0.04,0.0991982310586659,0.04,0.06406683484958366,0.04,0.1241917894441095
0.05,0.05092061304748526,0.05,0.09877694992928583,0.05,0.06389800805985836,0.05,0.1238750350061774
0.06,0.05076408272446888,0.06,0.09837754015171281,0.06,0.06372294091597629,0.06,0.1235488222967922
0.07000000000000001,0.05062659606246435,0.07000000000000001,0.09800987488292895,0.07000000000000001,0.06353887236873175,0.07000000000000001,0.123208508434537
0.08,0.0505101245023903,0.08,0.0976830999008914,0.08,0.0633442937209895,0.08,0.1228519303157387
0.09,0.05041547864673124,0.09,0.09740321867815172,0.09,0.06313616243811411,0.09,0.1224739863656328
0.09999999999999999,0.05034296171695979,0.09999999999999999,0.09717392828754154,0.09999999999999999,0.06291101791559485,0.09999999999999999,0.1220687061066698
0.11,0.05029267329095989,0.11,0.0969970619714008,0.11,0.06266513875292978,0.11,0.1216293897786245
0.12,0.05026476744190188,0.12,0.0968732319554077,0.12,0.06239487284465216,0.12,0.1211489951235123
0.13,0.05025962613713412,0.13,0.09680248189355956,0.13,0.06209720618087998,0.13,0.1206208982844593
0.14,0.05027792803860719,0.14,0.09678480648933832,0.14,0.06177061710294613,0.14,0.1200401592531353
0.15,0.05032060361739752,0.15,0.09682045349416171,0.15,0.06141620222874862,0.15,0.1194053723890507
0.16,0.05038867388574646,0.16,0.09690996437963505,0.16,0.06103894828832705,0.16,0.1187210438718708
0.17,0.05048298260227459,0.17,0.09705393553866391,0.17,0.06064887794592436,0.17,0.1180001942784504
0.18,0.05060386068673872,0.18,0.09725252194681798,0.18,0.06026167934547277,0.18,0.117266579216482
0.19,0.05075080116322889,0.19,0.09750478832356685,0.19,0.05989843355316877,0.19,0.1165556884854077
0.2,0.05092224498143218,0.2,0.09780811082807692,0.2,0.05958424694692425,0.2,0.1159137181136215
0.21,0.05111555399885929,0.21,0.09815785893533943,0.21,0.05934593105799374,0.21,0.1153941339159626
0.2200000000000001,0.05132718112198738,0.2200000000000001,0.09854748902831692,0.2200000000000001,0.05920918201263807,0.2200000000000001,0.1150521613568407
0.2300000000000001,0.05155297707522483,0.2300000000000001,0.09896901032345315,0.2300000000000001,0.05919582281074619,0.2300000000000001,0.1149382201184602
0.2400000000000001,0.05178853833933258,0.2400000000000001,0.09941365021722001,0.2400000000000001,0.0593215626805871,0.2400000000000001,0.1150916488240171
0.2500000000000001,0.05202951275050229,0.2500000000000001,0.09987251813110898,0.2500000000000001,0.05959454140649453,0.2500000000000001,0.1155359632336337
0.2600000000000001,0.05227181912005194,0.2600000000000001,0.100337129606444,0.2600000000000001,0.06001480382855358,0.2600000000000001,0.116276518419153
0.2700000000000001,0.05251177707723823,0.2700000000000001,0.1007997440109495,0.2700000000000001,0.06057477539265773,0.2700000000000001,0.117300943421051
0.2800000000000001,0.05274616642339602,0.2800000000000001,0.1012535372995531,0.2800000000000001,0.06126066634638321,0.2800000000000001,0.1185821095958848
0.2900000000000001,0.052972240603988,0.2900000000000001,0.1016926589014926,0.2900000000000001,0.06205449596330889,0.2900000000000001,0.1200827673887648
0.3000000000000001,0.05318771394507134,0.3000000000000001,0.1021122193562209,0.3000000000000001,0.06293624098864752,0.3000000000000001,0.1217606005104999
0.3100000000000001,0.05339073481767578,0.3100000000000001,0.1025082407037285,0.3100000000000001,0.06388562788524853,0.3100000000000001,0.1235725265752052
0.3200000000000001,0.05357985118409762,0.3200000000000001,0.1028775875585099,0.3200000000000001,0.06488330231167921,0.3200000000000001,0.1254775674035783
0.3300000000000001,0.05375397203903046,0.3300000000000001,0.1032178881391568,0.3300000000000001,0.0659113791073154,0.3300000000000001,0.1274382360434795
0.3400000000000001,0.053912327332335,0.3400000000000001,0.1035274509572192,0.3400000000000001,0.06695355956130815,0.3400000000000001,0.1294208445489675
