"S11  (L=8e-08,M=20) X","S11  (L=8e-08,M=20) YRe","S11  (L=8e-08,M=20) YReImag","S11  (L=4e-08,M=10) X","S11  (L=4e-08,M=10) YRe","S11  (L=4e-08,M=10) YReImag","S11  (L=4e-08,M=20) X","S11  (L=4e-08,M=20) YRe","S11  (L=4e-08,M=20) YReImag","S11  (L=8e-08,M=10) X","S11  (L=8e-08,M=10) YRe","S11  (L=8e-08,M=10) YReImag"
0,0.9906674065993708,-0.1103547079487109,0,0.9979634930512875,-0.05041193891736045,0,0.9932977849529103,-0.09702492542047338,0,0.997106523919431,-0.05724786799708362
0.01,0.9907102218566024,-0.1101933536215327,0.01,0.9979682472053666,-0.05037429617381354,0.01,0.9933122630159545,-0.09695109139873168,0.01,0.9971211225929701,-0.0571645602910455
0.02,0.9907525367933741,-0.1100332254043571,0.02,0.9979728410613564,-0.05033858505172879,0.02,0.9933261584940554,-0.09688131825893256,0.02,0.9971355454525033,-0.05708190741675073
0.03,0.990794365380433,-0.1098745128677334,0.03,0.9979772467167862,-0.05030526038907386,0.03,0.9933393607650116,-0.09681657831145206,0.03,0.9971498010536965,-0.05699999703527074
0.04,0.9908357050279666,-0.1097175341525176,0.04,0.9979814272256737,-0.05027490556671033,0.04,0.9933517249815622,-0.09675811870793749,0.04,0.9971638932855085,-0.05691898025943691
0.05,0.9908765325769682,-0.1095627674065262,0.05,0.9979853344917158,-0.05024826232612804,0.05,0.9933630639965885,-0.09670752595532468,0.05,0.997177820244431,-0.05683908707761637
0.06,0.9909169596619813,-0.10941003878412,0.06,0.9979889315695993,-0.05022598899546293,0.06,0.9933732015954677,-0.09666637072518056,0.06,0.9971916223632824,-0.05676022998410286
0.07000000000000001,0.9909571510879227,-0.1092589507285004,0.07000000000000001,0.9979921545092232,-0.05020908900297313,0.07000000000000001,0.9933819196442613,-0.09663657398275051,0.07000000000000001,0.997205364004611,-0.05668215584597726
0.08,0.9909965598311195,-0.1091129915163757,0.08,0.9979948640731438,-0.0501994676429965,0.08,0.9933886868031885,-0.09662229533930118,0.08,0.9972188768865502,-0.05660662657193877
0.09,0.9910350132908983,-0.1089737994849991,0.09,0.9979969383449656,-0.05019890869147121,0.09,0.9933930320732685,-0.09662738314943185,0.09,0.9972321170328613,-0.05653444259616609
0.09999999999999999,0.9910722730130435,-0.1088435168187883,0.09999999999999999,0.9979982274872503,-0.05020958189445808,0.09999999999999999,0.993394375031001,-0.09665654264656291,0.09999999999999999,0.9972450218080338,-0.05646665171663444
0.11,0.9911080169072604,-0.1087249250686197,0.11,0.9979985502020645,-0.05023408832085216,0.11,0.9933920092023123,-0.09671545649968981,0.11,0.9972575049251955,-0.05640461544179513
0.12,0.9911418163704049,-0.108621616862922,0.12,0.9979976911537827,-0.050275487617506,0.12,0.9933850873128993,-0.0968108805777973,0.12,0.997269449980642,-0.05635009303832009
0.13,0.9911731072346193,-0.1085382111753967,0.13,0.9979954004420197,-0.05033729072968979,0.13,0.9933726117780639,-0.09695068450173035,0.13,0.997280702215442,-0.05630534687228542
0.14,0.9912011535730512,-0.1084806187861318,0.14,0.9979913965637901,-0.05042339764997483,0.14,0.993353435168663,-0.09714379620155185,0.14,0.9972910582620174,-0.05627327226851456
0.15,0.9912250035149262,-0.1084563613940476,0.15,0.9979853742706974,-0.05053795997869243,0.15,0.9933262760067214,-0.09740000459232868,0.15,0.9973002536364843,-0.05625755354433977
0.16,0.9912434370210252,-0.1084749401918944,0.16,0.9979770182246241,-0.05068515700144637,0.16,0.9932897545855903,-0.09772958318296877,0.16,0.9973079479718638,-0.05626284409999732
0.17,0.9912549072616674,-0.108548234472361,0.17,0.9979660220403279,-0.05086889511985229,0.17,0.9932424503077448,-0.09814272920375328,0.17,0.9973137084748771,-0.05629496092925424
0.18,0.9912574803577834,-0.1086908840575614,0.18,0.9979521102586268,-0.05109247188146483,0.18,0.993182975848701,-0.09864887032390039,0.18,0.9973169929858621,-0.05636107070191064
0.19,0.9912487833188492,-0.1089205676569709,0.19,0.9979350587354523,-0.05135827586919373,0.19,0.9931100556805066,-0.09925595980829779,0.19,0.9973171354800678,-0.05646982397801413
0.2,0.9912259771318126,-0.1092580337558789,0.2,0.99791470813301,-0.05166760280026358,0.2,0.9930225909070924,-0.09996992576676078,0.2,0.9973133388982502,-0.05663136663279169
0.21,0.9911857798653287,-0.1097266845383925,0.21,0.9978909667176967,-0.05202064144251216,0.21,0.9929196935754458,-0.1007944209775256,0.21,0.9973046824796057,-0.05685712963343799
0.2200000000000001,0.9911245694302877,-0.1103514919251571,0.2200000000000001,0.9978638022561512,-0.05241662630256053,0.2200000000000001,0.9928006832670195,-0.1017309261879638,0.2200000000000001,0.9972901521723034,-0.05715928720799924
