"Zopt_Im (L=4e-08,M=10) X","Zopt_Im (L=4e-08,M=10) Y","Zopt_Im (L=4e-08,M=20) X","Zopt_Im (L=4e-08,M=20) Y","Zopt_Im (L=8e-08,M=10) X","Zopt_Im (L=8e-08,M=10) Y","Zopt_Im (L=8e-08,M=20) X","Zopt_Im (L=8e-08,M=20) Y"
0,1844.492172124299,0,942.2521657611409,0,1443.727350746298,0,740.5638124017884
0.01,1856.992151700705,0.01,947.9829562206469,0.01,1447.461923030587,0.01,742.495898619099
0.02,1870.047739435503,0.02,954.2036303714206,0.02,1451.24043892732,0.02,744.4397825943798
0.03,1883.355799123972,0.03,960.8337843322321,0.03,1455.089258941891,0.03,746.4057060993075
0.04,1896.566378567087,0.04,967.7465692948484,0.04,1459.042015253955,0.04,748.4066844061781
0.05,1909.319329708388,0.05,974.7751932196227,0.05,1463.141668024814,0.05,750.4593357527427
0.06,1921.288165411998,0.06,981.7295552104342,0.06,1467.451827293005,0.06,752.5898139149768
0.07000000000000001,1932.201249358342,0.07000000000000001,988.4138579794688,0.07000000000000001,1472.056347254248,0.07000000000000001,754.8326398835546
0.08,1941.845298738182,0.08,994.6372384792206,0.08,1477.016666871327,0.08,757.2087876129764
0.09,1950.088550000942,0.09,1000.243372689081,0.09,1482.438940670257,0.09,759.7606918368207
0.09999999999999999,1956.858104755122,0.09999999999999999,1005.112167400847,0.09999999999999999,1488.450616228963,0.09999999999999999,762.5403076650452
0.11,1962.121136060435,0.11,1009.159527811988,0.11,1495.199503454872,0.11,765.6095743238736
0.12,1965.865379314675,0.12,1012.331157500124,0.12,1502.848549393943,0.12,769.0395527434945
0.13,1968.083219819906,0.13,1014.593522001508,0.13,1511.563766979571,0.13,772.9072305923441
0.14,1968.761994353777,0.14,1015.925112479589,0.14,1521.49246686526,0.14,777.2886805362001
0.15,1967.881602337024,0.15,1016.310371170162,0.15,1532.729554022544,0.15,782.247136647062
0.16,1965.419207254456,0.16,1015.737538679472,0.16,1545.271944724087,0.16,787.8149288715481
0.17,1961.359497224662,0.17,1014.200508997993,0.17,1558.965689534443,0.17,793.9694854833125
0.18,1955.707610773276,0.18,1011.703636743905,0.18,1573.456698645,0.18,800.6060622575133
0.19,1948.500802106503,0.19,1008.267494455556,0.19,1588.161760991023,0.19,807.5132412917787
0.2,1939.81494962591,0.2,1003.933163457554,0.2,1602.277852008861,0.2,814.3603519998933
0.21,1929.763598978526,0.21,998.7631144953669,0.21,1614.841040712702,0.21,820.7066652104254
0.2200000000000001,1918.4899526119,0.2200000000000001,992.8380773729722,0.2200000000000001,1624.832013350915,0.2200000000000001,826.0384772096929
0.2300000000000001,1906.154721695687,0.2300000000000001,986.2509081395681,0.2300000000000001,1631.308958354987,0.2300000000000001,829.8318983127692
0.2400000000000001,1892.923714252787,0.2400000000000001,979.0994734232982,0.2400000000000001,1633.537940423252,0.2400000000000001,831.629090107308
0.2500000000000001,1878.958177692969,0.2500000000000001,971.4805186767356,0.2500000000000001,1631.090225005422,0.2500000000000001,831.1085571727009
0.2600000000000001,1864.40910488465,0.2600000000000001,963.485623082108,0.2600000000000001,1623.884546363177,0.2600000000000001,828.129900357161
0.2700000000000001,1849.415089355464,0.2700000000000001,955.1993234602625,0.2700000000000001,1612.167026399605,0.2700000000000001,822.7412195944677
0.2800000000000001,1834.102496011274,0.2800000000000001,946.6988267995339,0.2800000000000001,1596.43875982036,0.2800000000000001,815.150247717861
0.2900000000000001,1818.586664765719,0.2900000000000001,938.0545499597789,0.2900000000000001,1577.355373546909,0.2900000000000001,805.6722916994993
0.3000000000000001,1802.973231574353,0.3000000000000001,929.3308712263942,0.3000000000000001,1555.627476496711,0.3000000000000001,794.673194847742
0.3100000000000001,1787.359099156526,0.3100000000000001,920.5867382631974,0.3100000000000001,1531.943740852606,0.3100000000000001,782.522171496853
0.3200000000000001,1771.832937118789,0.3200000000000001,911.8760079407145,0.3200000000000001,1506.924783039958,0.3200000000000001,769.5612166714635
0.3300000000000001,1756.47529255869,0.3300000000000001,903.2475417419603,0.3300000000000001,1481.104231341965,0.3300000000000001,756.0902949664877
0.3400000000000001,1741.358471963582,0.3400000000000001,894.7451484005652,0.3400000000000001,1454.927863715101,0.3400000000000001,742.3636770158539
0.3500000000000001,1726.546357334042,0.3500000000000001,886.4074771064846,0.3500000000000001,1428.761806667573,0.3500000000000001,728.5923902612948
0.3600000000000002,1712.094282924151,0.3600000000000002,878.2679454667185,0.3600000000000002,1402.903537566462,0.3600000000000002,714.9490829941498
0.3700000000000002,1698.049050607069,0.3700000000000002,870.3547556871761,0.3700000000000002,1377.592387038573,0.3700000000000002,701.5732078212266
0.3800000000000002,1684.449117022334,0.3800000000000002,862.6910221026938,0.3800000000000002,1353.018332396646,0.3800000000000002,688.5756357969357
0.3900000000000002,1671.324951279296,0.3900000000000002,855.295009218574,0.3900000000000002,1329.329013629328,0.3900000000000002,676.0425087606384
0.4000000000000002,1658.699539671135,0.4000000000000002,848.1804637098364,0.4000000000000002,1306.635365016012,0.4000000000000002,664.0384496784994
0.4100000000000002,1646.589002230686,0.4100000000000002,841.3570157680902,0.4100000000000002,1285.016334726656,0.4100000000000002,652.609334453488
0.4200000000000002,1635.003282423211,0.4200000000000002,834.8306230486086,0.4200000000000002,1264.523071002388,0.4200000000000002,641.784800311979
0.4300000000000002,1623.946873111551,0.4300000000000002,828.6040322388967,0.4300000000000002,1245.182808917803,0.4300000000000002,631.5805979985935
0.4400000000000002,1613.419546783364,0.4400000000000002,822.6772371742226,0.4400000000000002,1227.00255916412,0.4400000000000002,622.0008277016942
0.4500000000000002,1603.417064226706,0.4500000000000002,817.0479171510557,0.4500000000000002,1209.972606363304,0.4500000000000002,613.0400505316865
0.4600000000000002,1593.931842257397,0.4600000000000002,811.7118437952096,0.4600000000000002,1194.069774097278,0.4600000000000002,604.6852432447948
0.4700000000000003,1584.953567112515,0.4700000000000003,806.6632490687726,0.4700000000000003,1179.260399932853,0.4700000000000003,596.9175602241748
