pnoise_Vnout (Tdiff_R=0) X,pnoise_Vnout (Tdiff_R=0) Y
1000000,1.550415160814729e-08
1258925.411794167,1.392959565493311e-08
1584893.192461114,1.253876345544584e-08
1995262.31496888,1.131277808650514e-08
2511886.431509581,1.023481321444589e-08
3162277.66016838,9.289843513453632e-09
3981071.705534974,8.464380762789273e-09
5011872.336272725,7.746262368369477e-09
6309573.444801935,7.124453460905158e-09
7943282.347242818,6.588853924796309e-09
10000000,6.130165018397981e-09
12589254.11794168,5.739763631370525e-09
15848931.92461114,5.409637676987822e-09
19952623.14968881,5.132309070093305e-09
25118864.31509582,4.900858189581509e-09
31622776.60168381,4.708921661016826e-09
39810717.05534975,4.550701956164502e-09
50118723.36272726,4.420983396335669e-09
63095734.44801937,4.315165698046363e-09
79432823.47242822,4.229220237649103e-09
100000000.0000001,4.159664144275241e-09
125892541.1794168,4.103532102457375e-09
158489319.2461115,4.058267268731805e-09
199526231.4968882,4.021660639406441e-09
251188643.1509583,3.991724484888077e-09
316227766.0168384,3.966503160660385e-09
398107170.5534979,3.943951548067915e-09
501187233.6272731,3.921762765456772e-09
630957344.4801943,3.897209576589209e-09
794328234.7242829,3.867143917882782e-09
1000000000.000002,3.82789506791112e-09
1258925411.794169,3.775988255906174e-09
1584893192.461116,3.709922387215779e-09
1995262314.968883,3.632547003950321e-09
2511886431.509585,3.530564236326677e-09
3000000000,3.282911659183577e-09
