output noise; V/sqrt(Hz) X,output noise; V/sqrt(Hz) Y
1000000,1.016555718192426e-08
1258925.411794167,9.80316624779804e-09
1584893.192461114,9.505467770580018e-09
1995262.31496888,9.26218051765327e-09
2511886.431509581,9.064277359604934e-09
3162277.66016838,8.903941655405083e-09
3981071.705534974,8.77449244777952e-09
5011872.336272725,8.67028629770563e-09
6309573.444801935,8.586605239578381e-09
7943282.347242818,8.519539788784407e-09
10000000,8.465874135415429e-09
12589254.11794168,8.422978430635575e-09
15848931.92461114,8.388710949471233e-09
19952623.14968881,8.361331147430823e-09
25118864.31509582,8.339423263802317e-09
31622776.60168381,8.321829081823173e-09
39810717.05534975,8.307587586847972e-09
50118723.36272726,8.295878381056227e-09
63095734.44801937,8.285964593365901e-09
79432823.47242822,8.277129389427209e-09
100000000.0000001,8.268597684697814e-09
125892541.1794168,8.259430841444427e-09
158489319.2461115,8.248376468472798e-09
199526231.4968882,8.233647541274684e-09
251188643.1509583,8.212595261741201e-09
316227766.0168384,8.181231119373126e-09
398107170.5534979,8.133554521709427e-09
501187233.6272731,8.060676204048991e-09
630957344.4801943,7.949843123375484e-09
794328234.7242829,7.783746052369288e-09
1000000000.000002,7.540984105559768e-09
1258925411.794169,7.199101948261148e-09
1584893192.461116,6.741434365091839e-09
1995262314.968883,6.166788472407022e-09
2511886431.509585,5.49687195440824e-09
3162277660.168386,4.774612336301716e-09
4000000000,4.037658564966145e-09
