sp_S21_dB (pin=-50) X,sp_S21_dB (pin=-50) Y
10000000,-116.8380236649923
10471285.480509,-115.5723389325641
10964781.96143185,-114.3272418217269
11481536.21496883,-113.0996085417269
12022644.34617413,-111.8646406736573
12589254.11794168,-110.6388711132657
13182567.38556408,-109.4301038512094
13803842.64602885,-108.2573567050508
14454397.70745928,-107.0913329574566
15135612.48436209,-105.9355530471584
15848931.92461115,-104.7851012241192
16595869.07437562,-103.6378525279986
17378008.28749377,-102.4933276452184
18197008.58609985,-101.3512116377971
19054607.17963249,-100.2378389868626
19952623.14968882,-99.13233818002672
20892961.30854042,-98.02693305532216
21877616.23949555,-96.92194541460609
22908676.52767776,-95.81777855109138
23988329.19019494,-94.72279050876423
25118864.31509584,-93.63211671346173
26302679.91895386,-92.54394431980684
27542287.03338171,-91.45876000569041
28840315.03126611,-90.39642921199911
30199517.20402022,-89.37370797660422
31622776.60168386,-88.35762935840043
33113112.14825918,-87.34819390569851
34673685.04525324,-86.34542464802709
36307805.47701021,-85.53156797532525
38018939.63205621,-84.71767089623272
39810717.05534982,-83.89871841914373
41686938.34703364,-82.98930860029232
43651583.2240167,-82.04832098377288
45708818.96148762,-81.10396144094138
47863009.23226396,-80.16809895799638
50118723.36272737,-79.2364907372291
52480746.02497741,-78.30650334010011
54954087.38576262,-77.37910721755907
57543993.73371587,-76.47286007795702
60255958.60743596,-75.58057296295929
63095734.44801953,-74.69137759312545
66069344.80075981,-73.81048172520781
69183097.09189388,-72.95727263525364
72443596.00749926,-72.10665698211564
75857757.50291865,-71.26165433034137
79432823.47242844,-70.43139695728249
83176377.11026742,-69.60368182414875
87096358.9956084,-68.78855351613997
91201083.93559134,-67.98319206259059
95499258.60214399,-67.17982073192009
100000000.0000004,-66.38931765297691
104712854.8050904,-65.60428535690502
109647819.614319,-64.82272613251554
114815362.1496888,-64.05594915905266
120226443.4617418,-63.28967057217291
125892541.1794173,-62.52395841283494
131825673.8556413,-61.75886062443313
138038426.4602891,-61.00533493192053
144543977.0745934,-60.25453680242543
151356124.8436215,-59.50352155826494
158489319.2461121,-58.75404241717392
165958690.7437569,-58.01200487522821
173780082.8749384,-57.26909927221223
181970085.8609993,-56.52570596250713
190546071.7963257,-55.78506642324197
199526231.496889,-55.04348980758076
208929613.0854051,-54.30242911101793
218776162.3949564,-53.56262981388514
229086765.2767785,-52.82181881053766
239883291.9019504,-52.08177356397499
251188643.1509594,-51.34105706506328
263026799.1895397,-50.59960023765494
275422870.3338182,-49.85811339866925
288403150.3126622,-49.11714482303175
301995172.0402034,-48.37776510676696
316227766.0168398,-47.6415781782862
331131121.4825931,-46.91030261054753
346736850.4525337,-46.18662894607263
363078054.7701036,-45.47664854051769
380189396.3205636,-44.79098377974071
398107170.5534998,-44.15267169440155
416869383.470338,-43.61896555758538
436515832.2401688,-43.3875115444776
457088189.614878,-44.61237755884849
478630092.3226415,-39.65245607847878
501187233.6272756,-38.41472844971687
524807460.2497762,-38.03330476359545
549540873.8576283,-37.45197340887508
575439937.3371609,-36.78132954902025
602559586.074362,-36.06508023726063
630957344.4801978,-35.32235941899294
660693448.0076008,-34.56252056631079
691830970.9189415,-33.79042085319234
724435960.0749954,-33.00855637551251
758577575.0291895,-32.21890854126283
794328234.7242875,-31.42250863864898
831763771.1026773,-30.61921626174862
870963589.9560874,-29.81078026104472
912010839.3559169,-28.9968015577841
954992586.0214435,-28.17610879121036
1000000000.000008,-27.34979245215574
1047128548.050908,-26.51768326423386
1096478196.143194,-25.67857640914889
1148153621.496892,-24.83261941257146
1202264434.617423,-23.97891287188554
1258925411.794178,-23.11745515387643
1318256738.556418,-22.24715987974147
1380384264.602896,-21.3671245984108
1445439770.74594,-20.47696774764974
1513561248.436221,-19.57518614739348
1584893192.461127,-18.66051655988087
1659586907.437575,-17.73197005240899
1737800828.749391,-16.78843691628406
1819700858.61,-15.82800484953752
1905460717.963264,-14.84849271267285
1995262314.968898,-13.8480976595675
2089296130.854059,-12.82461368167204
2187761623.949573,-11.7751645320257
2290867652.767794,-10.69705618638288
2398832919.019513,-9.586346595781798
2511886431.509604,-8.439205764329552
2630267991.895407,-7.251034895050323
2754228703.338192,-6.0168548339613
2884031503.126633,-4.730777076634959
3019951720.402045,-3.387533384342514
3162277660.168409,-1.979265102855789
3311311214.825943,-0.4979185792840446
3467368504.52535,1.069942823841598
3630780547.701048,2.737009928284959
3801893963.205649,4.519222752819918
3981071705.535011,6.431765699432236
4168693834.703395,8.492294060567476
4365158322.401703,10.7192817070809
4570881896.148796,13.12774726550365
4786300923.226432,15.72785979307466
5011872336.272774,18.51052114882512
5248074602.49778,21.43242054973726
5495408738.576303,24.38019080199923
5754399373.37163,27.11053367067667
6025595860.743641,29.17352164783673
6309573444.801999,30.05578267969515
6606934480.076031,29.80576476620323
6918309709.18944,29.10169369993799
7244359600.74998,28.54154847694888
7585775750.291922,28.26313414048585
7943282347.242904,27.48890061322552
8317637711.026804,24.48348613457716
8709635899.560905,19.55642996890985
9120108393.559202,14.24000866533673
9549925860.21447,9.026931941132114
10000000000.00012,3.957609124350672
10471285480.50912,-0.9737149698337264
10964781961.43198,-5.760833696038981
11481536214.96896,-10.39792372743019
12022644346.17427,-14.88760341318186
12589254117.94182,-19.24051587835989
13182567385.56423,-23.47468116031929
13803842646.02901,-27.60913648437652
14454397707.45945,-31.66911381619723
15135612484.36227,-35.68261557849479
15848931924.61133,-39.68522794847961
16595869074.37581,-43.72569135911453
17378008287.49397,-47.87834868309449
18197008586.10006,-52.27502724838861
19054607179.63271,-57.18555186693327
19952623149.68905,-63.27731533047029
20892961308.54066,-71.78580261510974
21877616239.49581,-68.67652505599118
22908676527.67803,-61.43903930083105
23988329190.19522,-54.27704609733912
25118864315.09613,-57.18482216968265
26302679918.95417,-64.87366019641004
27542287033.38203,-71.19777012669624
28840315031.26645,-77.69628641699055
30199517204.02057,-84.36200766829683
31622776601.68422,-87.01568149944089
33113112148.25956,-87.90180299515359
34673685045.25364,-87.68161269644345
36307805477.01064,-87.30895587993763
38018939632.05665,-87.13322719435332
39810717055.35028,-87.20411278818226
41686938347.03413,-87.49680403908079
43651583224.01721,-87.97792109859536
45708818961.48815,-88.62019290611399
47863009232.26452,-89.40449471323724
50118723362.72795,-90.31937735407764
52480746024.97802,-91.36062835898009
54954087385.76325,-92.53149451075735
57543993733.71653,-93.84358909065369
60255958607.43665,-95.31758764076579
63095734448.02025,-96.97930896415137
66069344800.76057,-98.83448807524945
69183097091.89467,-100.7788487964533
72443596007.50008,-102.4499435568439
75857757502.91951,-103.4481942467504
79432823472.42934,-104.0241405801464
83176377110.26836,-104.7373935231187
