pac_vo_diff_Q_pcb_dB (fin1=7e+09) X,pac_vo_diff_Q_pcb_dB (fin1=7e+09) Y
10000000,55.52716753735701
110000000,57.01108663124285
210000000,57.97272383709867
310000000,58.41422529802511
410000000,58.42304622387076
510000000,58.1372907765689
610000000,57.68711978751791
710000000,57.17301686177091
810000000,56.66569712081953
910000000,56.21093556045388
1010000000,55.84092171418359
1110000000,55.57508600825831
1210000000,55.41937606851513
1310000000,55.37011688850065
1410000000,55.39959630842113
1510000000,55.45136059845351
1610000000,55.41958475721556
1710000000,55.14740096433756
1810000000,54.46542577371315
1910000000,53.27463649964599
2010000000,51.61308320019855
2110000000,49.61637702104398
2210000000,47.42559573417803
2310000000,45.14998106865713
2410000000,42.86320542768811
2510000000,40.61270020034453
2610000000,38.42628391785875
2710000000,36.31546547761833
2810000000,34.27756968057896
2910000000,32.28904883088365
3010000000,30.29816686249799
3110000000,28.22989206271215
3210000000,25.99524533075691
3310000000,23.52911227374369
3410000000,20.82257312005467
3510000000,17.93781866758976
3610000000,14.95936175458617
3710000000,11.97395752188523
3810000000,9.038127311572648
3910000000,6.189454981270812
4000000000,3.713371227679275
