pnoise_Tn (fin1=7e+09) X,pnoise_Tn (fin1=7e+09) Y
10000000,271.8245825285424
12589254.11794167,270.9566205311855
15848931.92461114,270.376991410717
19952623.1496888,269.9655938337002
25118864.3150958,269.6378204929727
31622776.6016838,269.3300308618974
39810717.05534974,268.9859820198712
50118723.36272725,268.5351736076616
63095734.44801936,267.8834787937045
79432823.47242819,266.913015535337
100000000.0000001,265.4859818365755
125892541.1794168,263.4693016181317
158489319.2461115,260.641509446544
199526231.4968881,256.9673847267392
251188643.1509582,252.4940789304935
316227766.0168382,247.5467579384501
398107170.5534976,242.6813700546005
501187233.6272728,238.5417178388525
630957344.480194,235.8820126543013
794328234.7242825,235.6143065157769
1000000000.000001,239.113809635171
1258925411.794169,248.7690625251502
1584893192.461116,269.742461853934
2000000000,317.4912159679243
