output noise; V/sqrt(Hz) X,output noise; V/sqrt(Hz) Y
10000000,6.136887960375203e-07
12589254.11794167,6.139779157993243e-07
15848931.92461114,6.141780977751843e-07
19952623.1496888,6.143353010241212e-07
25118864.3150958,6.14495182641235e-07
31622776.6016838,6.147014116541529e-07
39810717.05534974,6.150125093910824e-07
50118723.36272725,6.155097378975177e-07
63095734.44801936,6.1607828097304e-07
79432823.47242819,6.169503847552584e-07
100000000.0000001,6.183069079935223e-07
125892541.1794168,6.204128761461075e-07
158489319.2461115,6.236917391311817e-07
199526231.4968881,6.286605758969405e-07
251188643.1509582,6.36034320155756e-07
316227766.0168382,6.464268168528082e-07
398107170.5534976,6.594256903907296e-07
501187233.6272728,6.705460381972528e-07
630957344.480194,6.635075317201141e-07
794328234.7242825,6.012206470500809e-07
1000000000.000001,4.481565706693647e-07
1258925411.794169,2.477032074071622e-07
1584893192.461116,1.075127953035313e-07
1995262314.968883,4.429982383683664e-08
2511886431.509584,2.397021815802455e-08
3162277660.168385,1.999151983003872e-08
4000000000,7.889692196270768e-09
