pac_vo_diff_I_IF_STG1_dB (fin1=7e+09) X,pac_vo_diff_I_IF_STG1_dB (fin1=7e+09) Y
100000000,56.91273203462938
125892541.1794167,57.3415500158525
158489319.2461109,57.84225029324162
199526231.4968882,58.40367026534341
251188643.1509581,58.98942475309758
316227766.0168381,59.52455122052238
398107170.5534973,59.88611200335755
501187233.6272726,59.92380842375735
630957344.4801931,59.52981692729402
794328234.7242823,58.72605704853616
1000000000.000001,57.73039345061058
1258925411.794168,56.99161165026449
1584893192.461115,57.02127610150208
1995262314.968882,55.21727312999992
2511886431.509583,44.86568839824365
3162277660.168383,31.23296152902309
3981071705.534977,8.318599204271083
5011872336.272728,-14.49175421911905
6309573444.801939,-34.38118963637881
7943282347.242825,-52.48965264964956
10000000000.00001,-66.4905684346754
12589254117.94169,-69.24815807198057
15848931924.61115,-70.3700360191358
19952623149.68882,-80.39608588919688
25118864315.09584,-81.97810162409986
31622776601.68384,-89.24877965337343
39810717055.34978,-93.68647325292143
50118723362.72731,-98.20993611072184
63095734448.01944,-102.4572412970132
79432823472.42828,-106.8744627729986
100000000000,-112.1522695467584
