pac_vo_diff_I_mixer_dB (fin1=7e+09) X,pac_vo_diff_I_mixer_dB (fin1=7e+09) Y
100000000,42.28095350806497
125892541.1794167,42.71526233679974
158489319.2461109,43.22476677152919
199526231.4968882,43.80022335195748
251188643.1509581,44.4082664466082
316227766.0168381,44.97864818002278
398107170.5534973,45.39570629227043
501187233.6272726,45.52018185758933
630957344.4801931,45.26058237000139
794328234.7242823,44.66193343178553
1000000000.000001,43.97319308908266
1258925411.794168,43.6807966428561
1584893192.461115,44.3358674640058
1995262314.968882,43.36943220629783
2511886431.509583,34.08219390683328
3162277660.168383,21.73089090343572
3981071705.534977,0.3117830593000157
5011872336.272728,-20.75982068146594
6309573444.801939,-38.74410326537642
7943282347.242825,-54.86926459345553
10000000000.00001,-66.59677704587897
12589254117.94169,-66.68929395158158
15848931924.61115,-64.9211808337644
19952623149.68882,-74.4732430523305
25118864315.09584,-77.87933969493247
31622776601.68384,-87.52128052128617
39810717055.34978,-95.4717874032589
50118723362.72731,-103.0835243881062
63095734448.01944,-110.9382607524954
79432823472.42828,-119.317583854705
100000000000,-128.2404212879723
