output noise; V/sqrt(Hz) (fin1=7e+09) X,output noise; V/sqrt(Hz) (fin1=7e+09) Y
1000,3.146230474344785e-07
1258.925411794167,2.741553715734005e-07
1584.893192461114,2.37182642675735e-07
1995.26231496888,2.047911330626657e-07
2511.88643150958,1.777959086509193e-07
3162.277660168379,1.563981255146414e-07
3981.071705534973,1.401737168769009e-07
5011.872336272723,1.28300595752087e-07
6309.573444801933,1.198369970007808e-07
7943.282347242816,1.139240641080459e-07
10000,1.098829107861866e-07
12589.25411794167,1.07234447481189e-07
15848.93192461114,1.056832321452167e-07
19952.6231496888,1.050959109471695e-07
25118.86431509581,1.054895868538845e-07
31622.77660168381,1.070355664108447e-07
39810.71705534975,1.10076565920752e-07
50118.72336272726,1.15149240627524e-07
63095.73444801936,1.229967855673955e-07
79432.82347242821,1.345521469631423e-07
100000.0000000001,1.508764108295644e-07
125892.5411794168,1.730483395779056e-07
158489.3192461115,2.020006287991576e-07
199526.2314968881,2.382809063505939e-07
251188.6431509582,2.81698111038375e-07
316227.7660168383,3.30900441687569e-07
398107.1705534977,3.831049358705888e-07
501187.2336272728,4.343923357008801e-07
630957.3444801939,4.807387762722343e-07
794328.2347242824,5.192993370157365e-07
1000000.000000001,5.490973967941983e-07
1258925.411794169,5.707739859322181e-07
1584893.192461115,5.858356944851966e-07
1995262.314968882,5.959615891290915e-07
2511886.431509583,6.026152168946597e-07
3162277.660168383,6.069205008766535e-07
3981071.705534978,6.096773220929966e-07
5011872.33627273,6.114301516325668e-07
6309573.444801942,6.125403875022079e-07
7943282.347242827,6.132425606827627e-07
10000000.00000001,6.136887960631176e-07
12589254.11794169,6.139779161105644e-07
15848931.92461116,6.141780976818944e-07
19952623.14968883,6.143353010873921e-07
25118864.31509584,6.144951827170243e-07
31622776.60168385,6.14701411604616e-07
39810717.0553498,6.150125093787812e-07
50118723.36272732,6.155097379836386e-07
63095734.44801944,6.160782808367977e-07
79432823.47242831,6.169503847884752e-07
100000000.0000002,6.183069080276205e-07
125892541.179417,6.204128761380562e-07
158489319.2461117,6.23691739123063e-07
199526231.4968884,6.286605759875987e-07
251188643.1509586,6.360343200926091e-07
316227766.0168387,6.464268168418872e-07
398107170.5534982,6.594256903557038e-07
501187233.6272735,6.70546038221851e-07
630957344.4801948,6.63507531686848e-07
794328234.7242835,6.012206470409607e-07
1000000000.000003,4.481565707524893e-07
1258925411.79417,2.477032073956384e-07
1584893192.461118,1.075127953043127e-07
1995262314.968885,4.429982383318911e-08
2511886431.509587,2.397021815687957e-08
3162277660.168388,1.999151983067863e-08
3981071705.534984,8.049180018472883e-09
5011872336.272738,4.177958367874633e-09
6309573444.801951,5.780051228798963e-09
7943282347.242839,3.755986669273717e-09
10000000000,1.275036519532328e-09
