NFdsb X,NFdsb Y,noise figure X,noise figure Y
100000000,2.763239741179987,100000000,4.223360410718175
125892541.1794167,2.747682568674341,125892541.1794167,3.945011738632862
158489319.2461114,2.725773991291659,158489319.2461114,3.657260420967782
199526231.496888,2.697142282183448,199526231.496888,3.378006232517166
251188643.1509581,2.662025964654018,251188643.1509581,3.126621331098274
316227766.016838,2.622854974537576,316227766.016838,2.919153349773746
398107170.5534974,2.583985023107159,398107170.5534974,2.762293966350206
501187233.6272725,2.550636878958404,501187233.6272725,2.653401254124493
630957344.4801935,2.529074958490535,630957344.4801935,2.58590083201193
794328234.7242819,2.526898754375808,794328234.7242819,2.556167016903022
1000000000.000001,2.55526080387859,1000000000.000001,2.568280816753356
1258925411.794168,2.63256562388779,1258925411.794168,2.636988721220797
1584893192.461115,2.795893477132207,1584893192.461115,2.796909167961636
2000000000,3.146301836635773,2000000000,3.146595921091021
