S22 dB20 X,S22 dB20 Y
100000000,-15.82612830823609
200000000,-15.76937481014795
300000000,-15.67916131360812
400000000,-15.55758231733753
500000000,-15.40712988433004
600000000,-15.23133633472466
700000000,-15.03354640439325
800000000,-14.81712837420487
900000000,-14.58533814134901
1000000000,-14.34121869081023
1100000000,-14.08765671388357
1200000000,-13.82706914698806
1300000000,-13.56155960645459
1400000000,-13.29307050794641
1500000000,-13.02376621058671
1600000000,-12.75496871230873
1700000000,-12.48752657343724
1800000000,-12.22228119495215
1900000000,-11.95989273181365
2000000000,-11.70104749624758
2100000000,-11.44618951392038
2200000000,-11.19560554907526
2300000000,-10.94977873060597
2400000000,-10.7085902639777
2500000000,-10.47232407590452
2600000000,-10.24107334217909
2700000000,-10.01477594867611
2800000000,-9.793476419073951
2900000000,-9.577118343339574
3000000000,-9.365636554007414
3100000000,-9.158944816341888
3200000000,-8.957031672187698
3300000000,-8.759957674186959
3400000000,-8.567685016287585
3500000000,-8.380186217363999
3600000000,-8.197375372909212
3700000000,-8.019010620736129
3800000000,-7.844962390210592
3900000000,-7.675133157002042
4000000000,-7.509368413629528
