Id,NF,Id2,S21
7.52E-09,5.751372701,7.52E-09,-38.40496022
7.54E-09,5.750843468,7.54E-09,-38.40460813
7.56E-09,5.750679333,7.56E-09,-38.40468844
7.59E-09,5.750500924,7.59E-09,-38.40477816
7.61E-09,5.75030545,7.61E-09,-38.40487659
7.64E-09,5.7500913,7.64E-09,-38.4049846
7.67E-09,5.749856709,7.67E-09,-38.40510312
7.71E-09,5.74959975,7.71E-09,-38.40523318
7.75E-09,5.74931832,7.75E-09,-38.40537592
7.79E-09,5.749010122,7.79E-09,-38.4055326
7.83E-09,5.748672654,7.83E-09,-38.40570458
7.88E-09,5.748303186,7.88E-09,-38.40589338
7.94E-09,5.747898746,7.94E-09,-38.40610068
8.00E-09,5.747456099,8.00E-09,-38.40632831
8.07E-09,5.746971725,8.07E-09,-38.40657831
8.15E-09,5.746441803,8.15E-09,-38.40685292
8.23E-09,5.745862183,8.23E-09,-38.4071546
8.32E-09,5.745228366,8.32E-09,-38.4074861
8.43E-09,5.744535484,8.43E-09,-38.40785043
8.54E-09,5.743778272,8.54E-09,-38.40825095
8.67E-09,5.742951056,8.67E-09,-38.40869134
8.81E-09,5.742047721,8.81E-09,-38.40917572
8.97E-09,5.741061707,8.97E-09,-38.40970864
9.15E-09,5.739985987,9.15E-09,-38.41029517
9.35E-09,5.738813069,9.35E-09,-38.41094094
9.57E-09,5.737534994,9.57E-09,-38.41165221
9.83E-09,5.736143352,9.83E-09,-38.412436
1.01E-08,5.734629319,1.01E-08,-38.41330012
1.04E-08,5.732983708,1.04E-08,-38.41425334
1.08E-08,5.731197059,1.08E-08,-38.4153055
1.12E-08,5.729259767,1.12E-08,-38.41646766
1.17E-08,5.727162269,1.17E-08,-38.41775232
1.22E-08,5.724895308,1.22E-08,-38.41917363
1.29E-08,5.722452235,1.29E-08,-38.42074966
1.36E-08,5.719822096,1.36E-08,-38.42249499
1.44E-08,5.717001049,1.44E-08,-38.42443236
1.54E-08,5.713986468,1.54E-08,-38.42658594
1.66E-08,5.710779951,1.66E-08,-38.42898375
1.80E-08,5.707389222,1.80E-08,-38.43165846
1.96E-08,5.703830772,1.96E-08,-38.43464848
2.16E-08,5.700133602,2.16E-08,-38.43799935
2.40E-08,5.69634455,2.40E-08,-38.44176564
2.69E-08,5.69253596,2.69E-08,-38.44601347
3.06E-08,5.688816856,3.06E-08,-38.45082393
3.52E-08,5.68534944,3.52E-08,-38.45629798
4.10E-08,5.682371243,4.10E-08,-38.46256362
4.85E-08,5.680144098,4.85E-08,-38.46980007
5.83E-08,5.67928462,5.83E-08,-38.47820799
7.14E-08,5.680585013,7.14E-08,-38.4880748
8.91E-08,5.685247591,8.91E-08,-38.49979322
1.14E-07,5.695122912,1.14E-07,-38.5139123
1.48E-07,5.713105708,1.48E-07,-38.53121838
1.99E-07,5.743806224,1.99E-07,-38.55286558
2.73E-07,5.794708429,2.73E-07,-38.58058863
3.87E-07,5.878197026,3.87E-07,-38.61704878
5.67E-07,6.015132325,5.67E-07,-38.66637636
8.60E-07,6.241111828,8.60E-07,-38.73491135
1.35E-06,6.616972812,1.35E-06,-38.83168042
2.22E-06,7.243711102,2.22E-06,-38.96577607
3.78E-06,8.268824576,3.78E-06,-39.12662678
6.72E-06,9.801988217,6.72E-06,-39.18374942
1.24E-05,11.45974845,1.24E-05,-38.49782406
2.39E-05,11.69237338,2.39E-05,-35.42919258
4.72E-05,9.529230224,4.72E-05,-29.13962889
9.53E-05,6.198542408,9.53E-05,-20.99911311
0.000193773,3.331738367,0.000193773,-12.72329225
0.000392577,1.712892252,0.000392577,-5.5214994
0.000781811,0.99990732,0.000781811,0.325141823
0.001503009,0.692816234,0.001503009,4.990703343
0.002731554,0.549115561,0.002731554,8.562781874
0.00461721,0.479505588,0.00461721,11.07788594
0.007217837,0.453866135,0.007217837,12.62900516
0.010466786,0.472517677,0.010466786,13.28257755
0.014131159,0.579785929,0.014131159,12.78741452
0.017649024,0.84132573,0.017649024,10.31871816
0.02041743,1.267734427,0.02041743,6.748286113
0.022549097,1.88648501,0.022549097,3.118190342
