pss_Pin_dBm (fin1=7e+09) X,pss_Pin_dBm (fin1=7e+09) Y
1e-05,-90.09972997410972
1.58489e-05,-86.09973000469012
2.51189e-05,-82.09973008122461
3.98107e-05,-78.09973027230257
6.30957e-05,-74.09973075105658
0.0001,-70.0997319487453
0.000158489,-66.09973488739067
0.000251189,-62.09974159038906
0.000398107,-58.09975499629817
0.000630957,-54.09978104060123
0.001,-50.09983128781602
0.00158489,-46.09993050455516
0.00251189,-42.10010356135449
0.00398107,-38.10047533498083
0.00630957,-34.10142314942121
0.01,-30.10559550001884
